i;j;j-coordinate;N_k;Xzz
1;2;(-1.5, -1.5, -1.5);661;0.0034991625
1;2;(-1.5, -1.5, -0.5);718;0.0034991625
1;2;(-1.5, -0.5, -1.5);718;0.0034991625
1;2;(-1.5, -0.5, -0.5);780;0.0034991625
1;2;(-0.5, -1.5, -1.5);718;0.0034991625
1;2;(-0.5, -1.5, -0.5);780;0.0034991625
1;2;(-0.5, -0.5, -1.5);780;0.0034991625
1;2;(-0.5, -0.5, -0.5);876;0.0034991625
1;1;(-1.0, 0.0, 0.0);824;0.00042845375
1;1;(0.0, -1.0, 0.0);824;0.00042845375
1;1;(0.0, 0.0, -1.0);824;0.00042845375
1;1;(0.0, 0.0, 1.0);786;0.00042845375
1;1;(0.0, 1.0, 0.0);786;0.00042845375
1;1;(1.0, 0.0, 0.0);786;0.00042845375
1;1;(-1.0, -1.0, 0.0);796;-0.00037709175
1;1;(-1.0, 0.0, -1.0);796;-0.00037709175
1;1;(-1.0, 0.0, 1.0);751;-0.00037709175
1;1;(-1.0, 1.0, 0.0);751;-0.00037709175
1;1;(0.0, -1.0, -1.0);796;-0.00037709175
1;1;(0.0, -1.0, 1.0);751;-0.00037709175
1;1;(0.0, 1.0, -1.0);751;-0.00037709175
1;1;(0.0, 1.0, 1.0);719;-0.00037709175
1;1;(1.0, -1.0, 0.0);751;-0.00037709175
1;1;(1.0, 0.0, -1.0);751;-0.00037709175
1;1;(1.0, 0.0, 1.0);719;-0.00037709175
1;1;(1.0, 1.0, 0.0);719;-0.00037709175
1;2;(-2.5, -1.5, -1.5);561;-0.00124157
1;2;(-2.5, -1.5, -0.5);602;-0.00124157
1;2;(-2.5, -0.5, -1.5);602;-0.00124157
1;2;(-2.5, -0.5, -0.5);649;-0.00124157
1;2;(-1.5, -2.5, -1.5);561;-0.00124157
1;2;(-1.5, -2.5, -0.5);602;-0.00124157
1;2;(-1.5, 0.5, -1.5);694;-0.00124157
1;2;(-1.5, 0.5, -0.5);750;-0.00124157
1;2;(-0.5, -2.5, -1.5);602;-0.00124157
1;2;(-0.5, -2.5, -0.5);649;-0.00124157
1;2;(-0.5, 0.5, -1.5);750;-0.00124157
1;2;(-0.5, 0.5, -0.5);843;-0.00124157
1;2;(0.5, -1.5, -1.5);694;-0.00124157
1;2;(0.5, -1.5, -0.5);750;-0.00124157
1;2;(0.5, -0.5, -1.5);750;-0.00124157
1;2;(0.5, -0.5, -0.5);843;-0.00124157
1;2;(-1.5, -1.5, -2.5);561;-0.00124157
1;2;(-1.5, -1.5, 0.5);694;-0.00124157
1;2;(-1.5, -0.5, -2.5);602;-0.00124157
1;2;(-1.5, -0.5, 0.5);750;-0.00124157
1;2;(-0.5, -1.5, -2.5);602;-0.00124157
1;2;(-0.5, -1.5, 0.5);750;-0.00124157
1;2;(-0.5, -0.5, -2.5);649;-0.00124157
1;2;(-0.5, -0.5, 0.5);843;-0.00124157
1;1;(-1.0, -1.0, -1.0);788;0.0005903495
1;1;(-1.0, -1.0, 1.0);723;0.0005903495
1;1;(-1.0, 1.0, -1.0);723;0.0005903495
1;1;(-1.0, 1.0, 1.0);691;0.0005903495
1;1;(1.0, -1.0, -1.0);723;0.0005903495
1;1;(1.0, -1.0, 1.0);691;0.0005903495
1;1;(1.0, 1.0, -1.0);691;0.0005903495
1;1;(1.0, 1.0, 1.0);661;0.0005903495
1;1;(-2.0, 0.0, 0.0);712;0.00133797
1;1;(0.0, -2.0, 0.0);712;0.00133797
1;1;(0.0, 0.0, -2.0);712;0.00133797
1;1;(0.0, 0.0, 2.0);653;0.00133797
1;1;(0.0, 2.0, 0.0);653;0.00133797
1;1;(2.0, 0.0, 0.0);653;0.00133797
1;2;(-2.5, -2.5, -1.5);481;-5.30085e-05
1;2;(-2.5, -2.5, -0.5);519;-5.30085e-05
1;2;(-2.5, -1.5, -2.5);481;-5.30085e-05
1;2;(-2.5, -1.5, 0.5);589;-5.30085e-05
1;2;(-2.5, -0.5, -2.5);519;-5.30085e-05
1;2;(-2.5, -0.5, 0.5);632;-5.30085e-05
1;2;(-2.5, 0.5, -1.5);589;-5.30085e-05
1;2;(-2.5, 0.5, -0.5);632;-5.30085e-05
1;2;(-1.5, -2.5, -2.5);481;-5.30085e-05
1;2;(-1.5, -2.5, 0.5);589;-5.30085e-05
1;2;(-1.5, 0.5, -2.5);589;-5.30085e-05
1;2;(-1.5, 0.5, 0.5);732;-5.30085e-05
1;2;(-0.5, -2.5, -2.5);519;-5.30085e-05
1;2;(-0.5, -2.5, 0.5);632;-5.30085e-05
1;2;(-0.5, 0.5, -2.5);632;-5.30085e-05
1;2;(-0.5, 0.5, 0.5);819;-5.30085e-05
1;2;(0.5, -2.5, -1.5);589;-5.30085e-05
1;2;(0.5, -2.5, -0.5);632;-5.30085e-05
1;2;(0.5, -1.5, -2.5);589;-5.30085e-05
1;2;(0.5, -1.5, 0.5);732;-5.30085e-05
1;2;(0.5, -0.5, -2.5);632;-5.30085e-05
1;2;(0.5, -0.5, 0.5);819;-5.30085e-05
1;2;(0.5, 0.5, -1.5);732;-5.30085e-05
1;2;(0.5, 0.5, -0.5);819;-5.30085e-05
1;1;(-2.0, -1.0, 0.0);691;0.00016962249999999998
1;1;(-2.0, 0.0, -1.0);691;0.00016962249999999998
1;1;(-2.0, 0.0, 1.0);659;0.00016962249999999998
1;1;(-2.0, 1.0, 0.0);659;0.00016962249999999998
1;1;(-1.0, -2.0, 0.0);691;0.00016962249999999998
1;1;(-1.0, 0.0, -2.0);691;0.00016962249999999998
1;1;(-1.0, 0.0, 2.0);631;0.00016962249999999998
1;1;(-1.0, 2.0, 0.0);631;0.00016962249999999998
1;1;(0.0, -2.0, -1.0);691;0.00016962249999999998
1;1;(0.0, -2.0, 1.0);659;0.00016962249999999998
1;1;(0.0, -1.0, -2.0);691;0.00016962249999999998
1;1;(0.0, -1.0, 2.0);631;0.00016962249999999998
1;1;(0.0, 1.0, -2.0);659;0.00016962249999999998
1;1;(0.0, 1.0, 2.0);604;0.00016962249999999998
1;1;(0.0, 2.0, -1.0);631;0.00016962249999999998
1;1;(0.0, 2.0, 1.0);604;0.00016962249999999998
1;1;(1.0, -2.0, 0.0);659;0.00016962249999999998
1;1;(1.0, 0.0, -2.0);659;0.00016962249999999998
1;1;(1.0, 0.0, 2.0);604;0.00016962249999999998
1;1;(1.0, 2.0, 0.0);604;0.00016962249999999998
1;1;(2.0, -1.0, 0.0);631;0.00016962249999999998
1;1;(2.0, 0.0, -1.0);631;0.00016962249999999998
1;1;(2.0, 0.0, 1.0);604;0.00016962249999999998
1;1;(2.0, 1.0, 0.0);604;0.00016962249999999998
1;1;(-2.0, -1.0, -1.0);678;0.00066535675
1;1;(-2.0, -1.0, 1.0);639;0.00066535675
1;1;(-2.0, 1.0, -1.0);639;0.00066535675
1;1;(-2.0, 1.0, 1.0);614;0.00066535675
1;1;(-1.0, -2.0, -1.0);678;0.00066535675
1;1;(-1.0, -2.0, 1.0);639;0.00066535675
1;1;(-1.0, -1.0, -2.0);678;0.00066535675
1;1;(-1.0, -1.0, 2.0);614;0.00066535675
1;1;(-1.0, 1.0, -2.0);639;0.00066535675
1;1;(-1.0, 1.0, 2.0);587;0.00066535675
1;1;(-1.0, 2.0, -1.0);614;0.00066535675
1;1;(-1.0, 2.0, 1.0);587;0.00066535675
1;1;(1.0, -2.0, -1.0);639;0.00066535675
1;1;(1.0, -2.0, 1.0);614;0.00066535675
1;1;(1.0, -1.0, -2.0);639;0.00066535675
1;1;(1.0, -1.0, 2.0);587;0.00066535675
1;1;(1.0, 1.0, -2.0);614;0.00066535675
1;1;(1.0, 1.0, 2.0);561;0.00066535675
1;1;(1.0, 2.0, -1.0);587;0.00066535675
1;1;(1.0, 2.0, 1.0);561;0.00066535675
1;1;(2.0, -1.0, -1.0);614;0.00066535675
1;1;(2.0, -1.0, 1.0);587;0.00066535675
1;1;(2.0, 1.0, -1.0);587;0.00066535675
1;1;(2.0, 1.0, 1.0);561;0.00066535675
1;2;(-2.5, -2.5, -2.5);419;0.00017982775
1;2;(-2.5, -2.5, 0.5);511;0.00017982775
1;2;(-2.5, 0.5, -2.5);511;0.00017982775
1;2;(-2.5, 0.5, 0.5);618;0.00017982775
1;2;(-1.5, -1.5, 1.5);617;7.526675e-06
1;2;(-1.5, -0.5, 1.5);663;7.526675e-06
1;2;(-1.5, 1.5, -1.5);617;7.526675e-06
1;2;(-1.5, 1.5, -0.5);663;7.526675e-06
1;2;(-0.5, -1.5, 1.5);663;7.526675e-06
1;2;(-0.5, -0.5, 1.5);718;7.526675e-06
1;2;(-0.5, 1.5, -1.5);663;7.526675e-06
1;2;(-0.5, 1.5, -0.5);718;7.526675e-06
1;2;(0.5, -2.5, -2.5);511;0.00017982775
1;2;(0.5, -2.5, 0.5);618;0.00017982775
1;2;(0.5, 0.5, -2.5);618;0.00017982775
1;2;(0.5, 0.5, 0.5);794;0.00017982775
1;2;(1.5, -1.5, -1.5);617;7.526675e-06
1;2;(1.5, -1.5, -0.5);663;7.526675e-06
1;2;(1.5, -0.5, -1.5);663;7.526675e-06
1;2;(1.5, -0.5, -0.5);718;7.526675e-06
1;2;(-3.5, -1.5, -1.5);451;7.526675e-06
1;2;(-3.5, -1.5, -0.5);481;7.526675e-06
1;2;(-3.5, -0.5, -1.5);481;7.526675e-06
1;2;(-3.5, -0.5, -0.5);515;7.526675e-06
1;2;(-1.5, -3.5, -1.5);451;7.526675e-06
1;2;(-1.5, -3.5, -0.5);481;7.526675e-06
1;2;(-1.5, -1.5, -3.5);451;7.526675e-06
1;2;(-1.5, -0.5, -3.5);481;7.526675e-06
1;2;(-0.5, -3.5, -1.5);481;7.526675e-06
1;2;(-0.5, -3.5, -0.5);515;7.526675e-06
1;2;(-0.5, -1.5, -3.5);481;7.526675e-06
1;2;(-0.5, -0.5, -3.5);515;7.526675e-06
1;1;(-2.0, -2.0, 0.0);618;4.560045e-05
1;1;(-2.0, 0.0, -2.0);618;4.560045e-05
1;1;(-2.0, 0.0, 2.0);568;4.560045e-05
1;1;(-2.0, 2.0, 0.0);568;4.560045e-05
1;1;(0.0, -2.0, -2.0);618;4.560045e-05
1;1;(0.0, -2.0, 2.0);568;4.560045e-05
1;1;(0.0, 2.0, -2.0);568;4.560045e-05
1;1;(0.0, 2.0, 2.0);521;4.560045e-05
1;1;(2.0, -2.0, 0.0);568;4.560045e-05
1;1;(2.0, 0.0, -2.0);568;4.560045e-05
1;1;(2.0, 0.0, 2.0);521;4.560045e-05
1;1;(2.0, 2.0, 0.0);521;4.560045e-05
1;2;(-2.5, -1.5, 1.5);531;1.4394199999999998e-05
1;2;(-2.5, -0.5, 1.5);564;1.4394199999999998e-05
1;2;(-2.5, 1.5, -1.5);531;1.4394199999999998e-05
1;2;(-2.5, 1.5, -0.5);564;1.4394199999999998e-05
1;2;(-1.5, -2.5, 1.5);531;1.4394199999999998e-05
1;2;(-1.5, 0.5, 1.5);648;1.4394199999999998e-05
1;2;(-1.5, 1.5, -2.5);531;1.4394199999999998e-05
1;2;(-1.5, 1.5, 0.5);648;1.4394199999999998e-05
1;2;(-0.5, -2.5, 1.5);564;1.4394199999999998e-05
1;2;(-0.5, 0.5, 1.5);699;1.4394199999999998e-05
1;2;(-0.5, 1.5, -2.5);564;1.4394199999999998e-05
1;2;(-0.5, 1.5, 0.5);699;1.4394199999999998e-05
1;2;(0.5, -1.5, 1.5);648;1.4394199999999998e-05
1;2;(0.5, -0.5, 1.5);699;1.4394199999999998e-05
1;2;(0.5, 1.5, -1.5);648;1.4394199999999998e-05
1;2;(0.5, 1.5, -0.5);699;1.4394199999999998e-05
1;2;(1.5, -2.5, -1.5);531;1.4394199999999998e-05
1;2;(1.5, -2.5, -0.5);564;1.4394199999999998e-05
1;2;(1.5, -1.5, -2.5);531;1.4394199999999998e-05
1;2;(1.5, -1.5, 0.5);648;1.4394199999999998e-05
1;2;(1.5, -0.5, -2.5);564;1.4394199999999998e-05
1;2;(1.5, -0.5, 0.5);699;1.4394199999999998e-05
1;2;(1.5, 0.5, -1.5);648;1.4394199999999998e-05
1;2;(1.5, 0.5, -0.5);699;1.4394199999999998e-05
1;2;(-3.5, -2.5, -1.5);389;1.4394199999999998e-05
1;2;(-3.5, -2.5, -0.5);417;1.4394199999999998e-05
1;2;(-3.5, -1.5, -2.5);389;1.4394199999999998e-05
1;2;(-3.5, -1.5, 0.5);473;1.4394199999999998e-05
1;2;(-3.5, -0.5, -2.5);417;1.4394199999999998e-05
1;2;(-3.5, -0.5, 0.5);505;1.4394199999999998e-05
1;2;(-3.5, 0.5, -1.5);473;1.4394199999999998e-05
