i;j;j-coordinate;N_k;Xzz
1;1;(0.0, -1.0, -2.0);691;0.0002433229812305905
1;1;(0.0, -1.0, 2.0);631;0.0002450937181513229
1;1;(0.0, 1.0, -2.0);659;0.0002452448094947344
1;1;(0.0, 1.0, 2.0);604;0.00025125996012019
1;1;(0.0, 2.0, -1.0);631;0.0002450937181513229
1;1;(0.0, 2.0, 1.0);604;0.00025125996012019
1;1;(1.0, -2.0, 0.0);659;0.0002452448094947344
1;1;(1.0, 0.0, -2.0);659;0.0002452448094947344
1;1;(1.0, 0.0, 2.0);604;0.00025125996012019
1;1;(1.0, 2.0, 0.0);604;0.00025125996012019
1;1;(2.0, -1.0, 0.0);631;0.0002450937181513229
1;1;(2.0, 0.0, -1.0);631;0.0002450937181513229
1;1;(2.0, 0.0, 1.0);604;0.00025125996012019
1;1;(2.0, 1.0, 0.0);604;0.00025125996012019
1;1;(-2.0, -1.0, -1.0);678;0.0007559192100010375
1;1;(-2.0, -1.0, 1.0);639;0.0007621200181636549
1;1;(-2.0, 1.0, -1.0);639;0.0007621200181636549
1;1;(-2.0, 1.0, 1.0);614;0.0007654842824058193
1;1;(-1.0, -2.0, -1.0);678;0.0007559192100010375
1;1;(-1.0, -2.0, 1.0);639;0.0007621200181636549
1;1;(-1.0, -1.0, -2.0);678;0.0007559192100010375
1;1;(-1.0, -1.0, 2.0);614;0.0007658953836421937
1;1;(-1.0, 1.0, -2.0);639;0.0007621200181636549
1;1;(-1.0, 1.0, 2.0);587;0.000774242818888255
1;1;(-1.0, 2.0, -1.0);614;0.0007658953836421937
1;1;(-1.0, 2.0, 1.0);587;0.000774242818888255
1;1;(1.0, -2.0, -1.0);639;0.0007621200181636549
1;1;(1.0, -2.0, 1.0);614;0.0007654842824058193
1;1;(1.0, -1.0, -2.0);639;0.0007621200181636549
1;1;(1.0, -1.0, 2.0);587;0.0007742428188882551
1;1;(1.0, 1.0, -2.0);614;0.0007654842824058193
1;1;(1.0, 1.0, 2.0);561;0.0007989357084010407
1;1;(1.0, 2.0, -1.0);587;0.0007742428188882551
1;1;(1.0, 2.0, 1.0);561;0.0007989357084010407
1;1;(2.0, -1.0, -1.0);614;0.0007658953836421937
1;1;(2.0, -1.0, 1.0);587;0.000774242818888255
1;1;(2.0, 1.0, -1.0);587;0.000774242818888255
1;1;(2.0, 1.0, 1.0);561;0.0007989357084010407
1;2;(-2.5, -2.5, -2.5);419;0.00019087121802714398
