i;j;j-coordinate;N_k;Xzz
1;2;(0.0, 3.0, 0.5);134;-6.7691e-05
1;2;(0.0, 3.0, 1.5);58;-6.76927e-05
1;2;(-3.0, -3.0, 0.5);134;-6.7691e-05
1;2;(-3.0, -3.0, 1.5);58;-6.76927e-05
1;2;(-3.0, 0.0, 0.5);134;-6.7691e-05
1;2;(-3.0, 0.0, 1.5);58;-6.76927e-05
1;2;(3.0, 0.0, 0.5);134;-6.7691e-05
1;2;(3.0, 0.0, 1.5);58;-6.76927e-05
1;2;(3.0, 3.0, 0.5);134;-6.7691e-05
1;2;(3.0, 3.0, 1.5);58;-6.76927e-05
1;1;(-1.0, -4.0, 0.0);117;0.0013723874999999998
1;1;(-1.0, 3.0, 0.0);117;0.0013723874999999998
1;1;(1.0, -3.0, 0.0);117;0.00137106
1;1;(1.0, 4.0, 0.0);117;0.00137106
1;1;(-4.0, -3.0, 0.0);115;0.00137106
1;1;(-4.0, -1.0, 0.0);115;0.00137106
1;1;(-3.0, -4.0, 0.0);117;0.0013723874999999998
1;1;(-3.0, 1.0, 0.0);117;0.0013723874999999998
1;1;(3.0, -1.0, 0.0);117;0.00137106
1;1;(3.0, 4.0, 0.0);117;0.00137106
1;1;(4.0, 1.0, 0.0);115;0.0013723874999999998
1;1;(4.0, 3.0, 0.0);115;0.0013723874999999998
1;1;(0.0, 0.0, -1.0);73;4.169349999999999e-06
1;1;(0.0, 0.0, 1.0);158;4.169349999999999e-06
1;2;(-2.0, -4.0, 0.5);121;0.00025757
1;2;(-2.0, -4.0, 1.5);52;0.00025757975
1;2;(-2.0, 2.0, 0.5);121;0.00025757
1;2;(-2.0, 2.0, 1.5);52;0.00025757975
1;2;(2.0, -2.0, 0.5);121;2.03306e-05
1;2;(2.0, -2.0, 1.5);52;2.0338575e-05
1;2;(2.0, 4.0, 0.5);121;2.03306e-05
1;2;(2.0, 4.0, 1.5);52;2.0338575e-05
1;2;(-4.0, -2.0, 0.5);119;2.03306e-05
1;2;(-4.0, -2.0, 1.5);52;2.0338575e-05
1;2;(4.0, 2.0, 0.5);119;0.00025757
1;2;(4.0, 2.0, 1.5);52;0.00025757975
1;1;(-1.0, -1.0, -1.0);73;-1.418774e-06
1;1;(-1.0, -1.0, 1.0);147;-1.4195875e-06
1;1;(-1.0, 0.0, -1.0);73;-1.418774e-06
1;1;(-1.0, 0.0, 1.0);147;-1.4195875e-06
1;1;(0.0, -1.0, -1.0);73;-1.418774e-06
1;1;(0.0, -1.0, 1.0);147;-1.4195875e-06
1;1;(0.0, 1.0, -1.0);73;-1.418774e-06
1;1;(0.0, 1.0, 1.0);147;-1.4195875e-06
1;1;(1.0, 0.0, -1.0);73;-1.418774e-06
1;1;(1.0, 0.0, 1.0);147;-1.4195875e-06
1;1;(1.0, 1.0, -1.0);73;-1.418774e-06
1;1;(1.0, 1.0, 1.0);147;-1.4195875e-06
1;1;(0.0, -4.0, 0.0);101;0.0007054050000000001
1;1;(0.0, 4.0, 0.0);101;0.0007054050000000001
1;1;(-4.0, -4.0, 0.0);101;0.0007054050000000001
1;1;(-4.0, 0.0, 0.0);101;0.0007054050000000001
1;1;(4.0, 0.0, 0.0);101;0.0007054050000000001
1;1;(4.0, 4.0, 0.0);101;0.0007054050000000001
1;2;(-1.0, -4.0, 0.5);118;4.5419575e-05
1;2;(-1.0, -4.0, 1.5);50;4.542115e-05
1;2;(-1.0, 3.0, 0.5);118;4.5419575e-05
1;2;(-1.0, 3.0, 1.5);50;4.542115e-05
1;2;(1.0, -3.0, 0.5);118;-0.00013476850000000002
1;2;(1.0, -3.0, 1.5);50;-0.00013477975
1;2;(1.0, 4.0, 0.5);118;-0.00013476850000000002
1;2;(1.0, 4.0, 1.5);50;-0.00013477975
1;2;(-3.0, -4.0, 0.5);118;4.5419575e-05
1;2;(-3.0, -4.0, 1.5);50;4.542115e-05
1;2;(-3.0, 1.0, 0.5);118;4.5419575e-05
1;2;(-3.0, 1.0, 1.5);50;4.542115e-05
1;2;(3.0, -1.0, 0.5);118;-0.00013476850000000002
1;2;(3.0, -1.0, 1.5);50;-0.00013477975
1;2;(3.0, 4.0, 0.5);118;-0.00013476850000000002
1;2;(3.0, 4.0, 1.5);50;-0.00013477975
1;2;(-4.0, -3.0, 0.5);116;-0.00013476850000000002
1;2;(-4.0, -3.0, 1.5);50;-0.00013477975
1;2;(-4.0, -1.0, 0.5);116;-0.00013476850000000002
1;2;(-4.0, -1.0, 1.5);50;-0.00013477975
1;2;(4.0, 1.0, 0.5);116;4.5419575e-05
1;2;(4.0, 1.0, 1.5);50;4.542115e-05
1;2;(4.0, 3.0, 0.5);116;4.5419575e-05
1;2;(4.0, 3.0, 1.5);50;4.542115e-05
1;1;(-2.0, -1.0, -1.0);73;5.581805e-06
1;1;(-2.0, -1.0, 1.0);139;5.5815e-06
