j-coordinate,Xzz
"(-3.0, 1.0, 4.0)",0.00010542494688890151
"(-3.0, 2.0, -4.0)",-8.643792953707162e-05
"(-3.0, 2.0, -3.0)",5.077833258964574e-06
"(-3.0, 2.0, -2.0)",2.462460636855184e-05
"(-3.0, 2.0, -1.0)",-0.000200677024308198
"(-3.0, 2.0, 0.0)",-0.00013858105854224525
"(-3.0, 2.0, 1.0)",-0.00014350610236862216
"(-3.0, 2.0, 2.0)",-9.133046182865303e-05
"(-3.0, 2.0, 3.0)",4.749865520466837e-06
"(-3.0, 3.0, -3.0)",-8.730766457315194e-05
"(-3.0, 3.0, -2.0)",-8.331554366143435e-05
"(-3.0, 3.0, -1.0)",2.5461854036014826e-05
"(-3.0, 3.0, 0.0)",-1.1116491576105108e-05
"(-3.0, 3.0, 1.0)",6.964627070155544e-05
"(-3.0, 3.0, 2.0)",4.749865520466835e-06
"(-3.0, 3.0, 3.0)",-8.922776111109992e-05
"(-3.0, 4.0, 0.0)",-2.6784713804228984e-06
"(-3.0, 4.0, 1.0)",0.00010547060515344097
"(-2.0, -5.0, -2.0)",-1.8516768180000571e-06
"(-2.0, -5.0, -1.0)",2.928599945586379e-05
"(-2.0, -5.0, 0.0)",2.9169213388739348e-05
"(-2.0, -5.0, 1.0)",-1.8410838279743144e-06
"(-2.0, -4.0, -3.0)",2.5912851112983668e-05
"(-2.0, -4.0, -2.0)",-8.502820641986663e-05
"(-2.0, -4.0, -1.0)",2.3860741420478714e-05
"(-2.0, -4.0, 0.0)",-5.089095663644737e-05
"(-2.0, -4.0, 1.0)",2.4788693948971546e-05
"(-2.0, -4.0, 2.0)",-8.792937838805048e-05
"(-2.0, -3.0, -4.0)",2.5912851112983668e-05
"(-2.0, -3.0, -3.0)",4.89475157086009e-06
"(-2.0, -3.0, -2.0)",-7.315288449480655e-05
"(-2.0, -3.0, -1.0)",2.286691896730121e-05
"(-2.0, -3.0, 0.0)",-9.759721913609227e-06
"(-2.0, -3.0, 1.0)",-9.85588387132977e-06
"(-2.0, -3.0, 2.0)",2.458613266979693e-05
"(-2.0, -3.0, 3.0)",-8.31812585384053e-05
"(-2.0, -2.0, -5.0)",-1.8516763311174341e-06
"(-2.0, -2.0, -4.0)",-8.502820641986663e-05
"(-2.0, -2.0, -3.0)",-7.315288449480655e-05
"(-2.0, -2.0, -2.0)",-4.247564439133152e-05
"(-2.0, -2.0, -1.0)",-7.169504408612746e-06
"(-2.0, -2.0, 0.0)",-9.68093620758566e-06
"(-2.0, -2.0, 1.0)",-9.888017917328195e-06
"(-2.0, -2.0, 2.0)",-7.11592246709973e-06
"(-2.0, -2.0, 3.0)",-4.661637903699917e-05
"(-2.0, -2.0, 4.0)",-8.555524109650817e-05
"(-2.0, -1.0, -5.0)",2.9285986706663622e-05
"(-2.0, -1.0, -4.0)",2.3863087025951453e-05
"(-2.0, -1.0, -3.0)",2.286672935226039e-05
"(-2.0, -1.0, -2.0)",-7.169177941179162e-06
"(-2.0, -1.0, -1.0)",-8.979093425744902e-05
"(-2.0, -1.0, 0.0)",9.758462950545423e-05
"(-2.0, -1.0, 1.0)",9.897750574181375e-05
"(-2.0, -1.0, 2.0)",-9.095970027702836e-05
"(-2.0, -1.0, 3.0)",-7.414907429409683e-06
"(-2.0, -1.0, 4.0)",2.5778186594260303e-05
"(-2.0, 0.0, -5.0)",2.91814665293767e-05
"(-2.0, 0.0, -4.0)",-5.096173060011953e-05
"(-2.0, 0.0, -3.0)",-9.774428319300983e-06
"(-2.0, 0.0, -2.0)",-9.696566487624665e-06
"(-2.0, 0.0, -1.0)",9.775025613783378e-05
"(-2.0, 0.0, 0.0)",-0.0001297165054395835
"(-2.0, 0.0, 1.0)",-0.00013066042017115503
"(-2.0, 0.0, 2.0)",9.927397758771291e-05
"(-2.0, 0.0, 3.0)",-2.2590400983965513e-05
"(-2.0, 0.0, 4.0)",-5.515641358432939e-05
"(-2.0, 1.0, -5.0)",-1.8418629769214974e-06
"(-2.0, 1.0, -4.0)",2.4823989785599262e-05
"(-2.0, 1.0, -3.0)",-9.870872073204488e-06
"(-2.0, 1.0, -2.0)",-9.90453823743265e-06
"(-2.0, 1.0, -1.0)",9.914784238528572e-05
"(-2.0, 1.0, 0.0)",-0.0001308864767033346
"(-2.0, 1.0, 1.0)",-0.00013186361604164388
"(-2.0, 1.0, 2.0)",-4.35743017973191e-05
"(-2.0, 1.0, 3.0)",7.188643155554873e-05
