i;j;j-coordinate;N_k;Xzz
3;6;(1.5, 2.5, 0.5);281;-0.00028859935325013526
3;5;(-1.5, -0.5, 1.0);276;-0.0005457443297634093
3;5;(-1.5, 1.5, 1.0);260;-0.0005224450810607851
3;5;(-0.5, -1.5, 1.0);272;0.0011308837652141595
3;5;(-0.5, 2.5, 1.0);245;0.0008760355533338146
3;5;(1.5, -1.5, 1.0);252;0.0014744214993623352
3;5;(1.5, 2.5, 1.0);229;0.001227440281299298
3;5;(2.5, -0.5, 1.0);237;-0.0004620648615387018
3;5;(2.5, 1.5, 1.0);226;-0.0003720413655887295
3;5;(-1.5, -0.5, 0.0);363;0.0001614818696798011
3;5;(-1.5, 1.5, 0.0);335;0.0001642499370575398
3;5;(-0.5, -1.5, 0.0);356;-0.000659514851469313
3;5;(-0.5, 2.5, 0.0);316;-0.0007509247340640596
3;5;(1.5, -1.5, 0.0);318;-0.0007720601115270085
3;5;(1.5, 2.5, 0.0);290;-0.0011159099663323293
3;5;(2.5, -0.5, 0.0);300;0.00017870762214936898
3;5;(2.5, 1.5, 0.0);285;0.0002320731370169889
3;3;(-2.0, -2.0, 0.0);274;0.002631663345869587
3;3;(-2.0, 2.0, 0.0);292;0.0022587146465568634
3;3;(2.0, -2.0, 0.0);273;0.0020317212703127967
3;3;(2.0, 2.0, 0.0);291;0.0027757156308346664
3;4;(-3.0, -1.0, 0.5);248;0.007218883536184595
3;4;(-3.0, 2.0, 0.5);233;0.0030333279193589806
3;4;(-2.0, -2.0, 0.5);262;0.006714013618094529
3;4;(-2.0, 3.0, 0.5);237;0.00301678648900185
3;4;(1.0, -2.0, 0.5);295;0.003955753262653137
3;4;(1.0, 3.0, 0.5);264;0.006584484369853502
3;4;(2.0, -1.0, 0.5);301;0.0037444743341727886
3;4;(2.0, 2.0, 0.5);281;0.006909723973369028
3;3;(-3.0, 0.0, 0.0);279;-0.027111881513615488
3;3;(0.0, -3.0, 0.0);265;-0.031098172291888056
3;3;(0.0, 3.0, 0.0);290;-0.041668544418188715
3;3;(3.0, 0.0, 0.0);276;-0.022275544271087598
3;6;(-2.5, 0.5, 1.5);144;0.00032241736819872176
3;6;(-2.5, 1.5, 1.5);133;0.00029553551310704387
3;6;(-0.5, -1.5, 1.5);166;0.00045474771662396083
3;6;(-0.5, 3.5, 1.5);116;0.0002522045322335119
3;6;(0.5, -1.5, 1.5);165;0.0004098819174721719
3;6;(0.5, 3.5, 1.5);116;0.0003500743092312976
3;6;(2.5, 0.5, 1.5);143;0.0002496686630832558
3;6;(2.5, 1.5, 1.5);133;0.00034331689701110903
3;6;(-2.5, 0.5, 0.5);296;1.0843962725635752e-05
3;6;(-2.5, 1.5, 0.5);277;1.2973993018623118e-05
3;6;(-0.5, -1.5, 0.5);334;8.555147231200844e-06
3;6;(-0.5, 3.5, 0.5);245;9.09047069159665e-06
3;6;(0.5, -1.5, 0.5);337;8.397422411446527e-06
3;6;(0.5, 3.5, 0.5);245;9.782207264532513e-06
3;6;(2.5, 0.5, 0.5);295;1.1464628516958084e-05
3;6;(2.5, 1.5, 0.5);275;1.6566939294068767e-05
3;3;(-3.0, -1.0, 0.0);261;0.0013174290351272455
3;3;(-3.0, 1.0, 0.0);270;0.0011003251907227166
3;3;(-1.0, -3.0, 0.0);250;-0.0012045578316869565
3;3;(-1.0, 3.0, 0.0);277;-0.001377183101723481
3;3;(1.0, -3.0, 0.0);252;-0.0010297659698414014
3;3;(1.0, 3.0, 0.0);277;-0.0015411265310320591
3;3;(3.0, -1.0, 0.0);261;0.0008429631686973646
3;3;(3.0, 1.0, 0.0);268;0.0009526074434298799
3;5;(-1.5, -1.5, 1.0);248;-0.0002249612548615357
3;5;(-1.5, 2.5, 1.0);226;-0.0001902420774088421
3;5;(2.5, -1.5, 1.0);216;-0.00011622859265628296
3;5;(2.5, 2.5, 1.0);197;-7.229197582524632e-05
3;5;(-1.5, -1.5, 0.0);317;-0.00048271388688642943
3;5;(-1.5, 2.5, 0.0);288;-0.0006482406589437296
3;5;(2.5, -1.5, 0.0);271;-0.00046652409036210344
3;5;(2.5, 2.5, 0.0);248;-0.0004507732587417292
3;3;(0.0, 0.0, -1.0);187;0.0006492917969206071
