i   j        dx     dy     dz         Jij            χ⁰↑            χ⁰↓            Xzz
1   1    -2.000 -2.000 -3.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1    -2.000  0.000  1.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1    -2.000  1.000  0.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1    -1.000 -3.000 -1.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1    -1.000 -1.000 -3.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1    -1.000  0.000  2.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1    -1.000  2.000  0.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1     0.000 -2.000  1.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1     0.000 -1.000  2.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1     0.000  1.000 -2.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1     0.000  2.000 -1.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1     1.000 -2.000  0.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1     1.000  0.000 -2.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1     1.000  1.000  3.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1     1.000  3.000  1.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1     2.000 -1.000  0.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1     2.000  0.000 -1.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1     2.000  2.000  3.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1     3.000  1.000  1.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1     3.000  2.000  2.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1    -2.000 -3.000 -2.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1     2.000  3.000  2.000   -0.017515  -1.809830E-03   2.329320E-04  -1.474093E-03
1   1    -3.000 -2.000 -1.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1    -3.000 -1.000 -2.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1    -2.000 -3.000 -1.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1    -2.000 -1.000 -3.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1    -2.000 -1.000  1.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1    -2.000  1.000 -1.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1    -1.000 -3.000 -2.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1    -1.000 -2.000 -3.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1    -1.000 -2.000  1.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1    -1.000  1.000 -2.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1    -1.000  1.000  2.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1    -1.000  2.000  1.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1     1.000 -2.000 -1.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1     1.000 -1.000 -2.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1     1.000 -1.000  2.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1     1.000  2.000 -1.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1     1.000  2.000  3.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1     1.000  3.000  2.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1     2.000 -1.000  1.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1     2.000  1.000 -1.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1     2.000  1.000  3.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1     2.000  3.000  1.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1     3.000  1.000  2.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1     3.000  2.000  1.000    0.008605   8.025330E-04   1.447630E-05   6.696032E-04
1   1    -3.000 -3.000 -2.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1    -3.000 -1.000  0.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1    -3.000  0.000 -1.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1    -2.000  1.000  1.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1    -1.000  2.000 -1.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1     0.000 -3.000 -1.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1     0.000  3.000  1.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1     1.000 -2.000  1.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1     2.000 -1.000 -1.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1     3.000  0.000  1.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1     3.000  1.000  0.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1     3.000  3.000  2.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1    -3.000 -2.000 -3.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1    -1.000 -3.000  0.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1    -1.000 -1.000  2.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1    -1.000  0.000 -3.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1     0.000 -1.000 -3.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1     0.000  1.000  3.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1     1.000  0.000  3.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1     1.000  1.000 -2.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1     1.000  3.000  0.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1     3.000  2.000  3.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1    -2.000 -3.000 -3.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1     2.000  3.000  3.000   -0.006859   1.147340E-03  -1.741460E-04   9.701361E-04
1   1    -3.000 -3.000 -1.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1     3.000  3.000  1.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1    -3.000 -3.000 -3.000    0.109641  -3.440250E-03   2.617430E-04  -3.178360E-03
1   1    -3.000 -2.000  0.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1    -3.000 -1.000 -3.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1    -3.000  0.000 -2.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1    -3.000  0.000  0.000    0.109641  -3.440250E-03   2.617430E-04  -3.178360E-03
1   1    -2.000  1.000 -2.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1    -1.000  2.000  2.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1     0.000 -3.000 -2.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1     0.000 -3.000  0.000    0.109641  -3.440250E-03   2.617430E-04  -3.178360E-03
1   1     0.000  0.000 -3.000    0.109641  -3.440250E-03   2.617430E-04  -3.178360E-03
1   1     0.000  0.000  3.000    0.109641  -3.440250E-03   2.617430E-04  -3.178360E-03
1   1     0.000  3.000  0.000    0.109641  -3.440250E-03   2.617430E-04  -3.178360E-03
1   1     0.000  3.000  2.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1     1.000 -2.000 -2.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1     2.000 -1.000  2.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1     3.000  0.000  0.000    0.109641  -3.440250E-03   2.617430E-04  -3.178360E-03
1   1     3.000  0.000  2.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1     3.000  1.000  3.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1     3.000  2.000  0.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1     3.000  3.000  3.000    0.109641  -3.440250E-03   2.617430E-04  -3.178360E-03
1   1    -2.000 -3.000  0.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1    -2.000 -2.000  1.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1    -2.000  0.000 -3.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1    -1.000 -3.000 -3.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1     0.000 -2.000 -3.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1     0.000  2.000  3.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1     1.000  3.000  3.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1     2.000  0.000  3.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1     2.000  2.000 -1.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1     2.000  3.000  0.000    0.023675  -7.680650E-04   3.990260E-04  -5.706362E-04
1   1    -4.000 -2.000 -2.000   -0.006120  -2.138630E-03   2.407010E-04  -2.040306E-03
1   1    -2.000 -4.000 -2.000   -0.006120  -2.138630E-03   2.407010E-04  -2.040306E-03
1   1     2.000  4.000  2.000   -0.006120  -2.138630E-03   2.407010E-04  -2.040306E-03
1   1     4.000  2.000  2.000   -0.006120  -2.138630E-03   2.407010E-04  -2.040306E-03
1   1    -2.000 -2.000 -4.000   -0.006120  -2.138630E-03   2.407010E-04  -2.040306E-03
1   1    -2.000  0.000  2.000   -0.006120  -2.138630E-03   2.407010E-04  -2.040306E-03
1   1    -2.000  2.000  0.000   -0.006120  -2.138630E-03   2.407010E-04  -2.040306E-03
1   1     0.000 -2.000  2.000   -0.006120  -2.138630E-03   2.407010E-04  -2.040306E-03
1   1     0.000  2.000 -2.000   -0.006120  -2.138630E-03   2.407010E-04  -2.040306E-03
1   1     2.000 -2.000  0.000   -0.006120  -2.138630E-03   2.407010E-04  -2.040306E-03
1   1     2.000  0.000 -2.000   -0.006120  -2.138630E-03   2.407010E-04  -2.040306E-03
1   1     2.000  2.000  4.000   -0.006120  -2.138630E-03   2.407010E-04  -2.040306E-03
1   1    -4.000 -3.000 -2.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -4.000 -2.000 -1.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -3.000 -2.000 -4.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -2.000 -4.000 -1.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -2.000 -1.000  2.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -2.000  1.000  2.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -1.000 -2.000  2.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -1.000  2.000 -2.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     1.000 -2.000  2.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     1.000  2.000 -2.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     2.000 -1.000 -2.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     2.000  1.000 -2.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     2.000  4.000  1.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     3.000  2.000  4.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     4.000  2.000  1.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     4.000  3.000  2.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -4.000 -2.000 -3.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -4.000 -1.000 -2.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -3.000 -4.000 -2.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -3.000 -1.000  1.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -3.000  1.000 -1.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -2.000 -4.000 -3.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -2.000 -3.000 -4.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -2.000 -1.000 -4.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -2.000  2.000 -1.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -2.000  2.000  1.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -1.000 -4.000 -2.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -1.000 -3.000  1.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -1.000 -2.000 -4.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -1.000  1.000 -3.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -1.000  1.000  3.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -1.000  3.000  1.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     1.000 -3.000 -1.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     1.000 -1.000 -3.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     1.000 -1.000  3.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     1.000  2.000  4.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     1.000  3.000 -1.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     1.000  4.000  2.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     2.000 -2.000 -1.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     2.000 -2.000  1.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     2.000  1.000  4.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     2.000  3.000  4.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     2.000  4.000  3.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     3.000 -1.000  1.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     3.000  1.000 -1.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     3.000  4.000  2.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     4.000  1.000  2.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1     4.000  2.000  3.000   -0.000773  -6.206650E-04   4.693930E-04  -4.788362E-04
1   1    -4.000 -1.000 -1.000    0.013266   5.809580E-04  -2.093330E-04   5.531835E-04
1   1    -3.000 -4.000 -3.000    0.013266   5.809580E-04  -2.093330E-04   5.531835E-04
1   1    -3.000 -3.000 -4.000    0.013266   5.809580E-04  -2.093330E-04   5.531835E-04
1   1    -3.000 -3.000  0.000   -0.004777  -2.481300E-03   4.754720E-04  -2.150513E-03
1   1    -3.000  0.000 -3.000   -0.004777  -2.481300E-03   4.754720E-04  -2.150513E-03
1   1    -3.000  0.000  1.000    0.013266   5.809580E-04  -2.093330E-04   5.531835E-04
1   1    -3.000  1.000  0.000    0.013266   5.809580E-04  -2.093330E-04   5.531835E-04
1   1    -1.000 -4.000 -1.000    0.013266   5.809580E-04  -2.093330E-04   5.531835E-04
1   1     0.000 -3.000 -3.000   -0.004777  -2.481300E-03   4.754720E-04  -2.150513E-03
