i   j        dx     dy     dz         Jij            χ⁰↑            χ⁰↓            Xzz
3   6     0.500  2.500  1.500    0.000000   3.483580E-04   3.483580E-04  -3.884054E-05
3   6     1.500  0.500  1.500    0.000000   3.483580E-04   3.483580E-04   2.983180E-03
3   6     1.500  1.500  1.500    0.000000   3.483580E-04   3.483580E-04  -1.631801E-03
3   6    -1.500  0.500  0.500    0.000000  -2.688270E-04  -2.688270E-04   3.451538E-04
3   6    -1.500  1.500  0.500    0.000000  -2.688270E-04  -2.688270E-04  -3.991773E-04
3   6    -0.500 -0.500  0.500    0.000000  -2.688270E-04  -2.688270E-04  -4.889235E-05
3   6    -0.500  2.500  0.500    0.000000  -2.688270E-04  -2.688270E-04   3.307437E-04
3   6     0.500 -0.500  0.500    0.000000  -2.688270E-04  -2.688270E-04  -4.920781E-05
3   6     0.500  2.500  0.500    0.000000  -2.688270E-04  -2.688270E-04   9.898378E-05
3   6     1.500  0.500  0.500    0.000000  -2.688270E-04  -2.688270E-04   2.774461E-03
3   6     1.500  1.500  0.500    0.000000  -2.688270E-04  -2.688270E-04   1.252670E-03
3   4    -3.000  0.000  0.500    0.000000  -3.067530E-04  -3.067530E-04   6.947905E-05
3   4    -3.000  1.000  0.500    0.000000  -3.067530E-04  -3.067530E-04  -3.111926E-04
3   4    -1.000 -2.000  0.500    0.000000  -3.067560E-04  -3.067560E-04   2.059002E-04
3   4    -1.000  3.000  0.500    0.000000  -3.067560E-04  -3.067560E-04  -2.407940E-04
3   4     0.000 -2.000  0.500    0.000000  -3.067560E-04  -3.067560E-04   1.134765E-04
3   4     0.000  3.000  0.500    0.000000  -3.067560E-04  -3.067560E-04   2.982838E-05
3   4     2.000  0.000  0.500    0.000000  -3.067530E-04  -3.067530E-04  -1.532144E-06
3   4     2.000  1.000  0.500    0.000000  -3.067530E-04  -3.067530E-04   2.139794E-04
3   5    -1.500  0.500  1.000    0.000000   3.618830E-04   3.618830E-04  -6.840462E-05
3   5     0.500 -1.500  1.000    0.000000  -3.088340E-04  -3.088340E-04  -7.978264E-02
3   5     0.500  2.500  1.000    0.000000  -3.088340E-04  -3.088340E-04  -7.180299E-04
3   5     2.500  0.500  1.000    0.000000   3.618830E-04   3.618830E-04  -1.768361E-03
3   5    -1.500  0.500  0.000    0.000000   1.447390E-03   1.447390E-03   2.484712E-03
3   5     0.500 -1.500  0.000    0.000000   2.013590E-03   2.013590E-03  -1.486978E-03
3   5     2.500  0.500  0.000    0.000000   1.447390E-03   1.447390E-03  -9.505501E-05
3   5     0.500  2.500  0.000    0.000000   2.013590E-03   2.013590E-03  -2.304349E-03
3   6    -1.500 -0.500  1.500    0.000000   2.313210E-03   2.313210E-03  -4.104509E-04
3   6    -1.500  2.500  1.500    0.000000   2.313210E-03   2.313210E-03  -3.303023E-04
3   6     1.500 -0.500  1.500    0.000000   2.313210E-03   2.313210E-03   2.004511E-02
3   6     1.500  2.500  1.500    0.000000   2.313210E-03   2.313210E-03   1.244643E-03
3   6    -1.500 -0.500  0.500    0.000000   6.962870E-04   6.962870E-04   2.780072E-03
3   6    -1.500  2.500  0.500    0.000000   6.962870E-04   6.962870E-04  -1.732230E-03
3   6     1.500 -0.500  0.500    0.000000   6.962870E-04   6.962870E-04   7.045759E-04
3   6     1.500  2.500  0.500    0.000000   6.962870E-04   6.962870E-04   3.072817E-04
3   5    -1.500 -0.500  1.000    0.000000  -1.346150E-03  -1.346150E-03  -1.662096E-04
3   5    -1.500  1.500  1.000    0.000000  -1.346150E-03  -1.346150E-03  -4.150806E-05
3   5    -0.500 -1.500  1.000    0.000000   2.518410E-03   2.518410E-03  -2.149570E-04
3   5    -0.500  2.500  1.000    0.000000   2.518410E-03   2.518410E-03   1.778752E-04
3   5     1.500 -1.500  1.000    0.000000   2.518410E-03   2.518410E-03  -1.319355E-02
3   5     1.500  2.500  1.000    0.000000   2.518410E-03   2.518410E-03  -9.899298E-04
3   5     2.500 -0.500  1.000    0.000000  -1.346150E-03  -1.346150E-03  -2.055784E-04
3   5     2.500  1.500  1.000    0.000000  -1.346150E-03  -1.346150E-03   8.133247E-04
3   5    -1.500 -0.500  0.000    0.000000   1.399760E-03   1.399760E-03  -3.675076E-04
3   5    -1.500  1.500  0.000    0.000000   1.399760E-03   1.399760E-03   6.018787E-04
3   5    -0.500 -1.500  0.000    0.000000   4.136450E-04   4.136450E-04   4.722146E-04
3   5    -0.500  2.500  0.000    0.000000   4.136450E-04   4.136450E-04   1.819370E-04
3   5     1.500 -1.500  0.000    0.000000   4.136450E-04   4.136450E-04  -5.608570E-04
3   5     1.500  2.500  0.000    0.000000   4.136450E-04   4.136450E-04   2.540779E-03
3   5     2.500 -0.500  0.000    0.000000   1.399760E-03   1.399760E-03  -1.668019E-04
3   5     2.500  1.500  0.000    0.000000   1.399760E-03   1.399760E-03   8.754276E-04
3   3    -2.000 -2.000  0.000    0.000000   1.113370E-02   1.113370E-02   1.276320E-02
3   3    -2.000  2.000  0.000    0.000000   1.113370E-02   1.113370E-02   6.853125E-03
3   3     2.000 -2.000  0.000    0.000000   1.113370E-02   1.113370E-02   1.232432E-02
3   3     2.000  2.000  0.000    0.000000   1.113370E-02   1.113370E-02   1.289928E-02
3   4    -3.000 -1.000  0.500    0.000000   7.386760E-03   7.386760E-03   5.360711E-05
3   4    -3.000  2.000  0.500    0.000000   7.386760E-03   7.386760E-03   3.080102E-03
3   4    -2.000 -2.000  0.500    0.000000   7.386750E-03   7.386750E-03  -4.172686E-05
3   4    -2.000  3.000  0.500    0.000000   7.386750E-03   7.386750E-03   2.960399E-03
3   4     1.000 -2.000  0.500    0.000000   7.386750E-03   7.386750E-03   1.247772E-04
3   4     1.000  3.000  0.500    0.000000   7.386750E-03   7.386750E-03   2.993176E-05
3   4     2.000 -1.000  0.500    0.000000   7.386760E-03   7.386760E-03  -1.622421E-06
3   4     2.000  2.000  0.500    0.000000   7.386760E-03   7.386760E-03  -8.688909E-06
3   3    -3.000  0.000  0.000    0.000000  -9.269790E-04  -9.269790E-04  -5.590208E-03
3   3     0.000 -3.000  0.000    0.000000  -9.858260E-03  -9.858260E-03  -9.204145E-04
3   3     0.000  3.000  0.000    0.000000  -9.858260E-03  -9.858260E-03  -5.391224E-04
3   3     3.000  0.000  0.000    0.000000  -9.269790E-04  -9.269790E-04  -9.313632E-03
3   6    -2.500  0.500  1.500    0.000000   5.050880E-04   5.050880E-04  -4.712190E-04
3   6    -2.500  1.500  1.500    0.000000   5.050880E-04   5.050880E-04  -1.922313E-04
3   6    -0.500 -1.500  1.500    0.000000   5.050880E-04   5.050880E-04   3.182517E-03
3   6    -0.500  3.500  1.500    0.000000   5.050880E-04   5.050880E-04  -9.970823E-04
3   6     0.500 -1.500  1.500    0.000000   5.050880E-04   5.050880E-04   5.797090E-03
3   6     0.500  3.500  1.500    0.000000   5.050880E-04   5.050880E-04  -7.975716E-06
3   6     2.500  0.500  1.500    0.000000   5.050880E-04   5.050880E-04   1.609286E-03
3   6     2.500  1.500  1.500    0.000000   5.050880E-04   5.050880E-04   1.602264E-03
3   6    -2.500  0.500  0.500    0.000000   3.408660E-04   3.408660E-04  -3.434058E-03
3   6    -2.500  1.500  0.500    0.000000   3.408660E-04   3.408660E-04  -4.482640E-03
3   6    -0.500 -1.500  0.500    0.000000   3.408660E-04   3.408660E-04  -5.794499E-05
3   6    -0.500  3.500  0.500    0.000000   3.408660E-04   3.408660E-04  -1.398093E-04
3   6     0.500 -1.500  0.500    0.000000   3.408660E-04   3.408660E-04  -5.622702E-05
3   6     0.500  3.500  0.500    0.000000   3.408660E-04   3.408660E-04  -2.063776E-04
3   6     2.500  0.500  0.500    0.000000   3.408660E-04   3.408660E-04   3.538596E-04
3   6     2.500  1.500  0.500    0.000000   3.408660E-04   3.408660E-04  -3.547084E-04
3   3    -3.000 -1.000  0.000    0.000000  -3.480520E-03  -3.480520E-03  -2.675653E-03
3   3    -3.000  1.000  0.000    0.000000  -3.480520E-03  -3.480520E-03  -2.262454E-03
3   3    -1.000 -3.000  0.000    0.000000  -5.576110E-03  -5.576110E-03  -3.157527E-03
3   3    -1.000  3.000  0.000    0.000000  -5.576110E-03  -5.576110E-03  -1.535160E-03
3   3     1.000 -3.000  0.000    0.000000  -5.576110E-03  -5.576110E-03  -2.980413E-03
3   3     1.000  3.000  0.000    0.000000  -5.576110E-03  -5.576110E-03  -1.870063E-03
3   3     3.000 -1.000  0.000    0.000000  -3.480520E-03  -3.480520E-03  -4.063342E-03
3   3     3.000  1.000  0.000    0.000000  -3.480520E-03  -3.480520E-03  -4.254003E-03
3   5    -1.500 -1.500  1.000    0.000000   3.072600E-03   3.072600E-03  -2.317220E-04
3   5    -1.500  2.500  1.000    0.000000   3.072600E-03   3.072600E-03  -9.375316E-04
3   5     2.500 -1.500  1.000    0.000000   3.072600E-03   3.072600E-03  -2.302329E-04
3   5     2.500  2.500  1.000    0.000000   3.072600E-03   3.072600E-03  -1.709703E-04
3   5    -1.500 -1.500  0.000    0.000000  -8.957610E-04  -8.957610E-04   5.444699E-04
3   5    -1.500  2.500  0.000    0.000000  -8.957610E-04  -8.957610E-04  -2.635424E-03
3   5     2.500 -1.500  0.000    0.000000  -8.957610E-04  -8.957610E-04   3.199019E-06
3   5     2.500  2.500  0.000    0.000000  -8.957610E-04  -8.957610E-04  -5.592792E-04
3   3     0.000  0.000 -1.000    0.000000   1.146420E-03   1.146420E-03   1.621624E-03
3   3     0.000  0.000  1.000    0.000000   1.146420E-03   1.146420E-03  -1.615571E-03
3   6    -2.500 -0.500  1.500    0.000000  -9.023680E-04  -9.023680E-04   1.822857E-03
3   6    -2.500  2.500  1.500    0.000000  -9.023680E-04  -9.023680E-04   1.040226E-05
3   6    -1.500 -1.500  1.500    0.000000  -9.023680E-04  -9.023680E-04   3.093964E-03
3   6    -1.500  3.500  1.500    0.000000  -9.023680E-04  -9.023680E-04  -4.235682E-04
3   6     1.500 -1.500  1.500    0.000000  -9.023680E-04  -9.023680E-04   2.794698E-03
3   6     1.500  3.500  1.500    0.000000  -9.023680E-04  -9.023680E-04  -1.005023E-03
3   6     2.500 -0.500  1.500    0.000000  -9.023680E-04  -9.023680E-04  -1.977005E-04
3   6     2.500  2.500  1.500    0.000000  -9.023680E-04  -9.023680E-04  -3.475428E-04
3   6    -2.500 -0.500  0.500    0.000000  -1.044180E-03  -1.044180E-03   5.684178E-05
3   6    -2.500  2.500  0.500    0.000000  -1.044180E-03  -1.044180E-03  -2.322289E-02
3   6    -1.500 -1.500  0.500    0.000000  -1.044180E-03  -1.044180E-03   3.735738E-04
3   6    -1.500  3.500  0.500    0.000000  -1.044180E-03  -1.044180E-03   7.638490E-04
3   6     1.500 -1.500  0.500    0.000000  -1.044180E-03  -1.044180E-03   3.074254E-03
3   6     1.500  3.500  0.500    0.000000  -1.044180E-03  -1.044180E-03  -3.215685E-04
3   6     2.500 -0.500  0.500    0.000000  -1.044180E-03  -1.044180E-03   2.779736E-03
3   6     2.500  2.500  0.500    0.000000  -1.044180E-03  -1.044180E-03   1.284068E-03
3   4    -1.000  0.000 -0.500    0.000000  -1.733200E-04  -1.733200E-04   9.244714E-02
3   4    -1.000  0.000  1.500    0.000000  -1.733200E-04  -1.733200E-04  -3.422360E-05
3   4    -1.000  1.000 -0.500    0.000000  -1.733200E-04  -1.733200E-04  -6.900631E-03
3   4    -1.000  1.000  1.500    0.000000  -1.733200E-04  -1.733200E-04  -4.675860E-05
3   4     0.000  0.000 -0.500    0.000000  -1.733200E-04  -1.733200E-04  -2.617940E-01
3   4     0.000  0.000  1.500    0.000000  -1.733200E-04  -1.733200E-04  -3.476201E-05
3   4     0.000  1.000 -0.500    0.000000  -1.733200E-04  -1.733200E-04   9.087859E-02
3   4     0.000  1.000  1.500    0.000000  -1.733200E-04  -1.733200E-04  -3.339034E-05
3   5    -2.500  0.500  1.000    0.000000  -7.110510E-05  -7.110510E-05   2.206521E-04
3   5     0.500 -2.500  1.000    0.000000   2.936220E-03   2.936220E-03  -1.825862E-04
3   5     0.500  3.500  1.000    0.000000   2.936220E-03   2.936220E-03  -7.452141E-04
3   5     3.500  0.500  1.000    0.000000  -7.110510E-05  -7.110510E-05  -6.242471E-03
3   5    -2.500  0.500  0.000    0.000000   2.280650E-04   2.280650E-04   2.008023E-03
3   5     0.500 -2.500  0.000    0.000000   1.306100E-04   1.306100E-04  -1.864354E-04
3   5     0.500  3.500  0.000    0.000000   1.306100E-04   1.306100E-04   9.050034E-04
3   5     3.500  0.500  0.000    0.000000   2.280650E-04   2.280650E-04   1.148781E-05
3   3    -1.000  0.000 -1.000    0.000000  -2.627130E-05  -2.627130E-05  -4.989427E-04
3   3    -1.000  0.000  1.000    0.000000  -2.627130E-05  -2.627130E-05   1.552479E-04
3   3     0.000 -1.000 -1.000    0.000000  -3.776760E-04  -3.776760E-04  -3.047423E-05
3   3     0.000 -1.000  1.000    0.000000  -3.776760E-04  -3.776760E-04   3.615027E-05
3   3     0.000  1.000 -1.000    0.000000  -3.776760E-04  -3.776760E-04  -3.532166E-05
3   3     0.000  1.000  1.000    0.000000  -3.776760E-04  -3.776760E-04   1.080705E-05
3   3     1.000  0.000 -1.000    0.000000  -2.627130E-05  -2.627130E-05  -4.410065E-04
3   3     1.000  0.000  1.000    0.000000  -2.627130E-05  -2.627130E-05   5.259811E-04
3   4    -4.000  0.000  0.500    0.000000  -4.156780E-03  -4.156780E-03  -1.212384E-03
3   4    -4.000  1.000  0.500    0.000000  -4.156780E-03  -4.156780E-03  -1.090601E-03
3   4    -3.000 -2.000  0.500    0.000000  -6.197460E-03  -6.197460E-03  -2.530365E-03
3   4    -3.000  3.000  0.500    0.000000  -6.197460E-03  -6.197460E-03  -3.033770E-03
3   4    -1.000 -3.000  0.500    0.000000  -4.156790E-03  -4.156790E-03  -7.759931E-06
3   4    -1.000  4.000  0.500    0.000000  -4.156790E-03  -4.156790E-03  -1.156456E-03
3   4     0.000 -3.000  0.500    0.000000  -4.156790E-03  -4.156790E-03   6.231517E-05
3   4     0.000  4.000  0.500    0.000000  -4.156790E-03  -4.156790E-03  -1.211467E-03
3   4     2.000 -2.000  0.500    0.000000  -6.197460E-03  -6.197460E-03   2.332302E-04
3   4     2.000  3.000  0.500    0.000000  -6.197460E-03  -6.197460E-03  -2.408618E-03
3   4     3.000  0.000  0.500    0.000000  -4.156780E-03  -4.156780E-03   3.574640E-05
3   4     3.000  1.000  0.500    0.000000  -4.156780E-03  -4.156780E-03  -3.363933E-05
3   5    -2.500 -0.500  1.000    0.000000   2.481070E-03   2.481070E-03  -9.068538E-04
3   5    -2.500  1.500  1.000    0.000000   2.481070E-03   2.481070E-03  -6.760447E-04
3   5    -0.500 -2.500  1.000    0.000000  -7.639650E-04  -7.639650E-04  -1.505095E-03
3   5    -0.500  3.500  1.000    0.000000  -7.639650E-04  -7.639650E-04  -2.496838E-04
3   5     1.500 -2.500  1.000    0.000000  -7.639650E-04  -7.639650E-04  -2.849871E-04
3   5     1.500  3.500  1.000    0.000000  -7.639650E-04  -7.639650E-04  -8.047493E-03
3   5     3.500 -0.500  1.000    0.000000   2.481070E-03   2.481070E-03   2.829602E-03
3   5     3.500  1.500  1.000    0.000000   2.481070E-03   2.481070E-03   1.184325E-02
3   5    -2.500 -0.500  0.000    0.000000   1.562580E-04   1.562580E-04   1.111837E-03
3   5    -2.500  1.500  0.000    0.000000   1.562580E-04   1.562580E-04  -1.867862E-03
3   5    -0.500 -2.500  0.000    0.000000  -1.652530E-03  -1.652530E-03  -1.088667E-04
3   5    -0.500  3.500  0.000    0.000000  -1.652530E-03  -1.652530E-03  -6.263037E-04
3   5     1.500 -2.500  0.000    0.000000  -1.652530E-03  -1.652530E-03   3.159158E-06
3   5     1.500  3.500  0.000    0.000000  -1.652530E-03  -1.652530E-03  -2.989314E-04
3   5     3.500 -0.500  0.000    0.000000   1.562580E-04   1.562580E-04  -3.761805E-04
3   5     3.500  1.500  0.000    0.000000   1.562580E-04   1.562580E-04   1.705470E-05
3   3    -1.000 -1.000 -1.000    0.000000  -3.631790E-04  -3.631790E-04  -4.599743E-04
3   3    -1.000 -1.000  1.000    0.000000  -3.631790E-04  -3.631790E-04   1.403542E-04
3   3    -1.000  1.000 -1.000    0.000000  -3.631790E-04  -3.631790E-04  -4.701553E-04
3   3    -1.000  1.000  1.000    0.000000  -3.631790E-04  -3.631790E-04   1.820594E-04
3   3     1.000 -1.000 -1.000    0.000000  -3.631790E-04  -3.631790E-04  -4.219965E-04
3   3     1.000 -1.000  1.000    0.000000  -3.631790E-04  -3.631790E-04   5.236582E-04
3   3     1.000  1.000 -1.000    0.000000  -3.631790E-04  -3.631790E-04  -4.703041E-04
3   3     1.000  1.000  1.000    0.000000  -3.631790E-04  -3.631790E-04   1.407925E-04
3   3    -3.000 -2.000  0.000    0.000000  -5.374520E-04  -5.374520E-04   1.223064E-04
3   3    -3.000  2.000  0.000    0.000000  -5.374520E-04  -5.374520E-04   2.320666E-04
3   3    -2.000 -3.000  0.000    0.000000   2.870010E-04   2.870010E-04  -3.118952E-04
3   3    -2.000  3.000  0.000    0.000000   2.870010E-04   2.870010E-04  -5.578642E-04
3   3     2.000 -3.000  0.000    0.000000   2.870010E-04   2.870010E-04  -5.728230E-04
3   3     2.000  3.000  0.000    0.000000   2.870010E-04   2.870010E-04  -2.590165E-04
3   3     3.000 -2.000  0.000    0.000000  -5.374520E-04  -5.374520E-04   2.431592E-04
3   3     3.000  2.000  0.000    0.000000  -5.374520E-04  -5.374520E-04   1.459464E-04
3   4    -2.000  0.000 -0.500    0.000000   1.190740E-04   1.190740E-04  -3.247019E-04
3   4    -2.000  0.000  1.500    0.000000  -1.493800E-06  -1.493800E-06   2.555466E-05
3   4    -2.000  1.000 -0.500    0.000000   1.190740E-04   1.190740E-04   8.764580E-03
3   4    -2.000  1.000  1.500    0.000000  -1.493800E-06  -1.493800E-06   2.400664E-05
3   4    -1.000 -1.000 -0.500    0.000000  -1.493300E-06  -1.493300E-06   9.435626E-02
3   4    -1.000 -1.000  1.500    0.000000   1.190750E-04   1.190750E-04  -3.798057E-07
3   4    -1.000  2.000 -0.500    0.000000  -1.493300E-06  -1.493300E-06   8.593408E-03
3   4    -1.000  2.000  1.500    0.000000   1.190750E-04   1.190750E-04  -3.046306E-07
3   4     0.000 -1.000 -0.500    0.000000  -1.493300E-06  -1.493300E-06  -3.302593E-01
3   4     0.000 -1.000  1.500    0.000000   1.190750E-04   1.190750E-04  -2.760475E-07
3   4     0.000  2.000 -0.500    0.000000  -1.493300E-06  -1.493300E-06  -3.064191E-04
3   4     0.000  2.000  1.500    0.000000   1.190750E-04   1.190750E-04  -3.321840E-07
3   4     1.000  0.000 -0.500    0.000000   1.190740E-04   1.190740E-04  -3.353570E-01
3   4     1.000  0.000  1.500    0.000000  -1.493800E-06  -1.493800E-06   2.405602E-05
3   4     1.000  1.000 -0.500    0.000000   1.190740E-04   1.190740E-04   9.497165E-02
3   4     1.000  1.000  1.500    0.000000  -1.493800E-06  -1.493800E-06   3.152367E-05
3   4    -4.000 -1.000  0.500    0.000000  -2.455920E-03  -2.455920E-03  -5.853961E-04
3   4    -4.000  2.000  0.500    0.000000  -2.455920E-03  -2.455920E-03  -6.349156E-04
3   4    -2.000 -3.000  0.500    0.000000  -2.455910E-03  -2.455910E-03  -2.028163E-05
