i;j;j-coordinate;N_k;Xzz
1;1;(2.0, 3.0, 3.0);413;0.00131241
1;1;(-3.0, -3.0, -2.0);405;0.004889195
1;1;(-3.0, -2.0, -3.0);405;0.004889195
1;1;(3.0, 2.0, 3.0);405;0.004889195
1;1;(3.0, 3.0, 2.0);405;0.004889195
1;1;(0.0, -3.0, -1.0);401;0.0004923345
1;1;(0.0, -1.0, -3.0);401;0.0004923345
1;1;(0.0, 1.0, 3.0);401;0.0004923345
1;1;(0.0, 3.0, 1.0);401;0.0004923345
1;1;(-1.0, -3.0, 0.0);397;0.00128736
1;1;(-1.0, 0.0, -3.0);397;0.00128736
1;1;(1.0, 0.0, 3.0);397;0.00128736
1;1;(1.0, 3.0, 0.0);397;0.00128736
1;1;(-2.0, 1.0, 1.0);405;0.0001175425
1;1;(2.0, -1.0, -1.0);405;0.0001175425
1;1;(-3.0, -1.0, 0.0);401;0.000809895
1;1;(-3.0, 0.0, -1.0);401;0.000809895
1;1;(3.0, 0.0, 1.0);401;0.000809895
1;1;(3.0, 1.0, 0.0);401;0.000809895
1;1;(-1.0, -1.0, 2.0);401;0.000940325
1;1;(1.0, 1.0, -2.0);401;0.000940325
1;1;(-1.0, 2.0, -1.0);401;0.000940325
1;1;(1.0, -2.0, 1.0);401;0.000940325
1;1;(-1.0, -3.0, -3.0);391;-0.00043304
1;1;(1.0, 3.0, 3.0);391;-0.00043304
1;1;(-3.0, -3.0, -3.0);397;-0.002662935
1;1;(3.0, 3.0, 3.0);397;-0.002662935
1;1;(0.0, -3.0, -2.0);387;-0.0001451085
1;1;(0.0, 3.0, 2.0);387;-0.0001451085
1;1;(0.0, -2.0, -3.0);387;-0.0001451085
1;1;(0.0, 2.0, 3.0);387;-0.0001451085
1;1;(-1.0, 2.0, 2.0);391;0.000555305
1;1;(1.0, -2.0, -2.0);391;0.000555305
1;1;(-3.0, -3.0, -1.0);387;-0.00061301
1;1;(-3.0, -1.0, -3.0);387;-0.00061301
1;1;(3.0, 1.0, 3.0);387;-0.00061301
1;1;(3.0, 3.0, 1.0);387;-0.00061301
