j-coordinate,Xzz
"(2.0, 0.0, 1.0)",-6.0478593525585273e-05
"(2.0, 1.0, 0.0)",-6.0547752652249866e-05
"(-2.0, -1.0, -1.0)",-0.00046286544612495183
"(-2.0, -1.0, 1.0)",-0.0004628611933094551
"(-2.0, 1.0, -1.0)",-0.0004628697020807911
"(-2.0, 1.0, 1.0)",-0.0004628654461249519
"(-1.0, -2.0, -1.0)",-0.00046286544612495183
"(-1.0, -2.0, 1.0)",-0.000462861193309455
"(-1.0, -1.0, -2.0)",-0.00046286970208079116
"(-1.0, -1.0, 2.0)",-0.0004628611933094551
"(-1.0, 1.0, -2.0)",-0.0004628739611769431
"(-1.0, 1.0, 2.0)",-0.0004628654461249519
"(-1.0, 2.0, -1.0)",-0.0004628739611769431
"(-1.0, 2.0, 1.0)",-0.00046286970208079116
"(1.0, -2.0, -1.0)",-0.0004628697020807911
"(1.0, -2.0, 1.0)",-0.0004628654461249518
"(1.0, -1.0, -2.0)",-0.0004628739611769431
"(1.0, -1.0, 2.0)",-0.0004628654461249519
"(1.0, 1.0, -2.0)",-0.0004628782234133782
"(1.0, 1.0, 2.0)",-0.0004628697020807911
"(1.0, 2.0, -1.0)",-0.0004628782234133782
"(1.0, 2.0, 1.0)",-0.00046287396117694314
"(2.0, -1.0, -1.0)",-0.0004628739611769431
"(2.0, -1.0, 1.0)",-0.0004628697020807911
"(2.0, 1.0, -1.0)",-0.0004628782234133782
"(2.0, 1.0, 1.0)",-0.0004628739611769431
"(-2.5, -2.5, -2.5)",-0.00016143991505331083
"(-2.5, -2.5, 0.5)",-8.797161769894907e-05
"(-2.5, 0.5, -2.5)",-8.797042876484585e-05
"(-2.5, 0.5, 0.5)",3.1932380079142286e-06
"(-1.5, -1.5, 1.5)",8.03800280955372e-06
"(-1.5, -0.5, 1.5)",-7.789270855308626e-05
"(-1.5, 1.5, -1.5)",8.03776769287704e-06
"(-1.5, 1.5, -0.5)",-7.789113435098656e-05
"(-0.5, -1.5, 1.5)",-7.789270855308627e-05
"(-0.5, -0.5, 1.5)",4.154949071451109e-05
"(-0.5, 1.5, -1.5)",-7.788956283568008e-05
"(-0.5, 1.5, -0.5)",4.154829370636267e-05
"(0.5, -2.5, -2.5)",-8.797042876484587e-05
"(0.5, -2.5, 0.5)",3.193238007914228e-06
"(0.5, 0.5, -2.5)",3.193121149416826e-06
"(0.5, 0.5, 0.5)",-0.002722314782642126
"(1.5, -1.5, -1.5)",8.03776769287704e-06
"(1.5, -1.5, -0.5)",-7.789113435098657e-05
"(1.5, -0.5, -1.5)",-7.78895628356801e-05
"(1.5, -0.5, -0.5)",4.154829370636268e-05
"(-3.5, -1.5, -1.5)",-6.751415912815731e-06
"(-3.5, -1.5, -0.5)",-6.612708763382571e-06
"(-3.5, -0.5, -1.5)",-6.6127335912341985e-06
"(-3.5, -0.5, -0.5)",-3.1746459601070962e-06
"(-1.5, -3.5, -1.5)",-6.751415912815732e-06
"(-1.5, -3.5, -0.5)",-6.612708763382571e-06
"(-1.5, -1.5, -3.5)",-6.7513859196204115e-06
"(-1.5, -0.5, -3.5)",-6.612659159972753e-06
"(-0.5, -3.5, -1.5)",-6.6127335912341985e-06
"(-0.5, -3.5, -0.5)",-3.1746459601070962e-06
"(-0.5, -1.5, -3.5)",-6.612659159972753e-06
"(-0.5, -0.5, -3.5)",-3.174579315220734e-06
"(-2.0, -2.0, 0.0)",-3.9389826115172437e-05
"(-2.0, 0.0, -2.0)",-3.9379370408265295e-05
"(-2.0, 0.0, 2.0)",-3.938982611517244e-05
"(-2.0, 2.0, 0.0)",-3.9379370408265295e-05
"(0.0, -2.0, -2.0)",-3.9379370408265316e-05
"(0.0, -2.0, 2.0)",-3.938982611517245e-05
"(0.0, 2.0, -2.0)",-3.936891816848783e-05
"(0.0, 2.0, 2.0)",-3.9379370408265316e-05
"(2.0, -2.0, 0.0)",-3.9379370408265316e-05
"(2.0, 0.0, -2.0)",-3.936891816848783e-05
"(2.0, 0.0, 2.0)",-3.9379370408265316e-05
"(2.0, 2.0, 0.0)",-3.936891816848784e-05
"(-2.5, -1.5, 1.5)",8.951491914529116e-06
"(-2.5, -0.5, 1.5)",0.00011780790800597593
"(-2.5, 1.5, -1.5)",8.951399472747425e-06
"(-2.5, 1.5, -0.5)",0.00011780711775532428
"(-1.5, -2.5, 1.5)",8.951491914529114e-06
"(-1.5, 0.5, 1.5)",0.00010226639552311204
"(-1.5, 1.5, -2.5)",8.95135330575935e-06
"(-1.5, 1.5, 0.5)",0.00010226433044159512
"(-0.5, -2.5, 1.5)",0.00011780790800597593
"(-0.5, 0.5, 1.5)",0.0009731963603949673
"(-0.5, 1.5, -2.5)",0.0001178047497963719
"(-0.5, 1.5, 0.5)",0.0009731794889226663
"(0.5, -1.5, 1.5)",0.00010226639552311204
"(0.5, -0.5, 1.5)",0.0009731963603949673
"(0.5, 1.5, -1.5)",0.00010226226888753715
"(0.5, 1.5, -0.5)",0.0009731682595297715
"(1.5, -2.5, -1.5)",8.951399472747425e-06
"(1.5, -2.5, -0.5)",0.00011780711775532428
"(1.5, -1.5, -2.5)",8.95135330575935e-06
"(1.5, -1.5, 0.5)",0.00010226433044159513
"(1.5, -0.5, -2.5)",0.0001178047497963719
"(1.5, -0.5, 0.5)",0.0009731794889226664
"(1.5, 0.5, -1.5)",0.00010226226888753715
"(1.5, 0.5, -0.5)",0.0009731682595297714
"(-3.5, -2.5, -1.5)",-1.3077362168996904e-05
"(-3.5, -2.5, -0.5)",-1.2815797117546562e-05
"(-3.5, -1.5, -2.5)",-1.3077362168996904e-05
"(-3.5, -1.5, 0.5)",-1.2644755215184295e-05
"(-3.5, -0.5, -2.5)",-1.2815769956153317e-05
"(-3.5, -0.5, 0.5)",-2.50035475241773e-05
"(-3.5, 0.5, -1.5)",-1.2644708870491685e-05
"(-3.5, 0.5, -0.5)",-2.50035475241773e-05
"(-2.5, -3.5, -1.5)",-1.3077362168996904e-05
"(-2.5, -3.5, -0.5)",-1.2815797117546566e-05
"(-2.5, -1.5, -3.5)",-1.3077362168996904e-05
"(-2.5, -0.5, -3.5)",-1.2815769956153317e-05
"(-1.5, -3.5, -2.5)",-1.3077362168996904e-05
"(-1.5, -3.5, 0.5)",-1.2644755215184295e-05
"(-1.5, -2.5, -3.5)",-1.3077362168996904e-05
"(-1.5, 0.5, -3.5)",-1.2644570036352867e-05
"(-0.5, -3.5, -2.5)",-1.2815769956153317e-05
"(-0.5, -3.5, 0.5)",-2.50035475241773e-05
"(-0.5, -2.5, -3.5)",-1.2815769956153317e-05
"(-0.5, 0.5, -3.5)",-2.500302383548862e-05
"(0.5, -3.5, -1.5)",-1.2644708870491684e-05
"(0.5, -3.5, -0.5)",-2.50035475241773e-05
"(0.5, -1.5, -3.5)",-1.2644570036352867e-05
"(0.5, -0.5, -3.5)",-2.500302383548862e-05
"(-3.0, 0.0, 0.0)",7.3832092080645e-05
"(-2.0, -2.0, -1.0)",2.5104201980199597e-05
"(-2.0, -2.0, 1.0)",2.5104201980199593e-05
"(-2.0, -1.0, -2.0)",2.5107337819723935e-05
"(-2.0, -1.0, 2.0)",2.5104201980199597e-05
"(-2.0, 1.0, -2.0)",2.5107337819723935e-05
"(-2.0, 1.0, 2.0)",2.5104201980199597e-05
"(-2.0, 2.0, -1.0)",2.5107337819723935e-05
"(-2.0, 2.0, 1.0)",2.5107337819723935e-05
"(-1.0, -2.0, -2.0)",2.5107337819723935e-05
"(-1.0, -2.0, 2.0)",2.5104201980199597e-05
"(-1.0, 2.0, -2.0)",2.511047423484003e-05
"(-1.0, 2.0, 2.0)",2.5107337819723935e-05
"(0.0, -3.0, 0.0)",7.383209208064497e-05
"(0.0, 0.0, -3.0)",7.378613189420376e-05
"(0.0, 0.0, 3.0)",7.3832092080645e-05
"(0.0, 3.0, 0.0)",7.378613189420378e-05
"(1.0, -2.0, -2.0)",2.5107337819723935e-05
"(1.0, -2.0, 2.0)",2.5104201980199593e-05
"(1.0, 2.0, -2.0)",2.511047423484003e-05
"(1.0, 2.0, 2.0)",2.5107337819723935e-05
"(2.0, -2.0, -1.0)",2.5107337819723935e-05
"(2.0, -2.0, 1.0)",2.5107337819723935e-05
"(2.0, -1.0, -2.0)",2.5110474234840032e-05
"(2.0, -1.0, 2.0)",2.5107337819723935e-05
"(2.0, 1.0, -2.0)",2.511047423484003e-05
"(2.0, 1.0, 2.0)",2.5107337819723935e-05
"(2.0, 2.0, -1.0)",2.5110474234840032e-05
"(2.0, 2.0, 1.0)",2.5110474234840032e-05
"(3.0, 0.0, 0.0)",7.378613189420381e-05
"(-3.0, -1.0, 0.0)",-1.8688263022841477e-05
"(-3.0, 0.0, -1.0)",-1.8688263022841484e-05
"(-3.0, 0.0, 1.0)",-1.8688263022841477e-05
"(-3.0, 1.0, 0.0)",-1.8688263022841484e-05
"(-1.0, -3.0, 0.0)",-1.8688263022841477e-05
"(-1.0, 0.0, -3.0)",-1.869569651852477e-05
"(-1.0, 0.0, 3.0)",-1.8688263022841477e-05
"(-1.0, 3.0, 0.0)",-1.869569651852477e-05
"(0.0, -3.0, -1.0)",-1.8688263022841484e-05
"(0.0, -3.0, 1.0)",-1.8688263022841484e-05
"(0.0, -1.0, -3.0)",-1.869569651852477e-05
"(0.0, -1.0, 3.0)",-1.8688263022841484e-05
"(0.0, 1.0, -3.0)",-1.869569651852477e-05
"(0.0, 1.0, 3.0)",-1.8688263022841477e-05
"(0.0, 3.0, -1.0)",-1.8695696518524775e-05
"(0.0, 3.0, 1.0)",-1.8695696518524775e-05
"(1.0, -3.0, 0.0)",-1.8688263022841484e-05
"(1.0, 0.0, -3.0)",-1.8695696518524775e-05
"(1.0, 0.0, 3.0)",-1.8688263022841484e-05
"(1.0, 3.0, 0.0)",-1.8695696518524775e-05
"(3.0, -1.0, 0.0)",-1.869569651852477e-05
"(3.0, 0.0, -1.0)",-1.869569651852477e-05
"(3.0, 0.0, 1.0)",-1.869569651852477e-05
"(3.0, 1.0, 0.0)",-1.869569651852477e-05
"(-3.5, -2.5, -2.5)",8.40752400189712e-05
"(-3.5, -2.5, 0.5)",8.140357636483403e-05
"(-3.5, 0.5, -2.5)",8.14030626100078e-05
"(-3.5, 0.5, 0.5)",-4.708660768597662e-06
"(-2.5, -3.5, -2.5)",8.407524001897122e-05
"(-2.5, -3.5, 0.5)",8.140357636483403e-05
"(-2.5, -2.5, -3.5)",8.407524001897122e-05
"(-2.5, -2.5, 1.5)",-8.901303360039706e-05
"(-2.5, 0.5, -3.5)",8.14030626100078e-05
"(-2.5, 0.5, 1.5)",3.238216446881122e-06
"(-2.5, 1.5, -2.5)",-8.901116322189586e-05
"(-2.5, 1.5, 0.5)",3.238194689598907e-06
"(0.5, -3.5, -2.5)",8.14030626100078e-05
"(0.5, -3.5, 0.5)",-4.7086607685976625e-06
"(0.5, -2.5, -3.5)",8.14030626100078e-05
"(0.5, -2.5, 1.5)",3.238216446881122e-06
"(0.5, 0.5, -3.5)",-4.708563755373323e-06
"(0.5, 0.5, 1.5)",-0.002742756943060568
"(0.5, 1.5, -2.5)",3.2381294945270713e-06
"(0.5, 1.5, 0.5)",-0.002742709467237563
"(1.5, -2.5, -2.5)",-8.901116322189586e-05
"(1.5, -2.5, 0.5)",3.2381946895989064e-06
"(1.5, 0.5, -2.5)",3.2381294945270718e-06
"(1.5, 0.5, 0.5)",-0.0027427094672375627
"(-3.0, -1.0, -1.0)",-1.72063167903944e-05
"(-3.0, -1.0, 1.0)",-1.7208816464831858e-05
