i;j;dx;dy;dz;χ⁰↑;χ⁰↓
1;1;-3.0;3.0;1.0;-0.00180983;0.000232932
1;1;-3.0;1.0;3.0;-0.00180983;0.000232932
1;1;3.0;3.0;1.0;-0.00180983;0.000232932
1;1;-1.0;3.0;3.0;-0.00180983;0.000232932
1;1;1.0;3.0;3.0;-0.00180983;0.000232932
1;1;-3.0;-1.0;-3.0;-0.00180983;0.000232932
1;1;3.0;1.0;3.0;-0.00180983;0.000232932
1;1;-0.0;-2.0;-4.0;0.000802533;1.44763e-05
1;1;-0.0;-4.0;-2.0;0.000802533;1.44763e-05
1;1;-2.0;-0.0;-4.0;0.000802533;1.44763e-05
1;1;-2.0;-4.0;0.0;0.000802533;1.44763e-05
1;1;2.0;0.0;-4.0;0.000802533;1.44763e-05
1;1;2.0;-4.0;0.0;0.000802533;1.44763e-05
1;1;-4.0;-0.0;-2.0;0.000802533;1.44763e-05
1;1;-4.0;-2.0;0.0;0.000802533;1.44763e-05
1;1;0.0;2.0;-4.0;0.000802533;1.44763e-05
1;1;0.0;-4.0;2.0;0.000802533;1.44763e-05
1;1;4.0;0.0;-2.0;0.000802533;1.44763e-05
1;1;4.0;-2.0;0.0;0.000802533;1.44763e-05
1;1;-4.0;2.0;0.0;0.000802533;1.44763e-05
1;1;-4.0;0.0;2.0;0.000802533;1.44763e-05
1;1;0.0;4.0;-2.0;0.000802533;1.44763e-05
1;1;0.0;-2.0;4.0;0.000802533;1.44763e-05
1;1;4.0;2.0;-0.0;0.000802533;1.44763e-05
1;1;4.0;0.0;2.0;0.000802533;1.44763e-05
1;1;-2.0;4.0;0.0;0.000802533;1.44763e-05
1;1;-2.0;0.0;4.0;0.000802533;1.44763e-05
1;1;2.0;4.0;-0.0;0.000802533;1.44763e-05
1;1;2.0;0.0;4.0;0.000802533;1.44763e-05
1;1;0.0;4.0;2.0;0.000802533;1.44763e-05
1;1;0.0;2.0;4.0;0.000802533;1.44763e-05
1;1;-2.0;-2.0;-4.0;0.00114734;-0.000174146
1;1;2.0;-2.0;-4.0;0.00114734;-0.000174146
1;1;2.0;-4.0;-2.0;0.00114734;-0.000174146
1;1;4.0;-2.0;-2.0;0.00114734;-0.000174146
1;1;2.0;-4.0;2.0;0.00114734;-0.000174146
1;1;-4.0;2.0;-2.0;0.00114734;-0.000174146
1;1;4.0;-2.0;2.0;0.00114734;-0.000174146
1;1;-2.0;4.0;-2.0;0.00114734;-0.000174146
1;1;-4.0;2.0;2.0;0.00114734;-0.000174146
1;1;-2.0;4.0;2.0;0.00114734;-0.000174146
1;1;-2.0;2.0;4.0;0.00114734;-0.000174146
1;1;2.0;2.0;4.0;0.00114734;-0.000174146
1;1;-2.0;-4.0;-2.0;0.00114734;-0.000174146
1;1;-2.0;2.0;-4.0;0.00114734;-0.000174146
1;1;2.0;2.0;-4.0;0.00114734;-0.000174146
1;1;-2.0;-4.0;2.0;0.00114734;-0.000174146
1;1;-4.0;-2.0;2.0;0.00114734;-0.000174146
1;1;4.0;2.0;-2.0;0.00114734;-0.000174146
1;1;2.0;4.0;-2.0;0.00114734;-0.000174146
1;1;-2.0;-2.0;4.0;0.00114734;-0.000174146
1;1;2.0;-2.0;4.0;0.00114734;-0.000174146
1;1;2.0;4.0;2.0;0.00114734;-0.000174146
1;1;-4.0;-2.0;-2.0;0.00114734;-0.000174146
1;1;4.0;2.0;2.0;0.00114734;-0.000174146
1;1;-1.0;-1.0;-5.0;-0.000768065;0.000399026
1;1;1.0;1.0;5.0;-0.000768065;0.000399026
1;1;-3.0;-3.0;-3.0;-0.00344025;0.000261743
1;1;1.0;-1.0;-5.0;-0.000768065;0.000399026
1;1;-1.0;-5.0;-1.0;-0.000768065;0.000399026
1;1;1.0;-5.0;-1.0;-0.000768065;0.000399026
1;1;3.0;-3.0;-3.0;-0.00344025;0.000261743
1;1;1.0;-5.0;1.0;-0.000768065;0.000399026
1;1;5.0;-1.0;-1.0;-0.000768065;0.000399026
1;1;-5.0;1.0;-1.0;-0.000768065;0.000399026
1;1;-3.0;3.0;-3.0;-0.00344025;0.000261743
1;1;-3.0;-3.0;3.0;-0.00344025;0.000261743
1;1;3.0;3.0;-3.0;-0.00344025;0.000261743
1;1;3.0;-3.0;3.0;-0.00344025;0.000261743
1;1;5.0;-1.0;1.0;-0.000768065;0.000399026
1;1;-5.0;1.0;1.0;-0.000768065;0.000399026
1;1;-1.0;5.0;-1.0;-0.000768065;0.000399026
1;1;-3.0;3.0;3.0;-0.00344025;0.000261743
1;1;-1.0;5.0;1.0;-0.000768065;0.000399026
1;1;1.0;5.0;1.0;-0.000768065;0.000399026
1;1;-1.0;1.0;5.0;-0.000768065;0.000399026
1;1;3.0;3.0;3.0;-0.00344025;0.000261743
1;1;-1.0;1.0;-5.0;-0.000768065;0.000399026
1;1;1.0;1.0;-5.0;-0.000768065;0.000399026
1;1;-1.0;-5.0;1.0;-0.000768065;0.000399026
1;1;-5.0;-1.0;-1.0;-0.000768065;0.000399026
1;1;-5.0;-1.0;1.0;-0.000768065;0.000399026
1;1;5.0;1.0;-1.0;-0.000768065;0.000399026
1;1;5.0;1.0;1.0;-0.000768065;0.000399026
1;1;1.0;5.0;-1.0;-0.000768065;0.000399026
1;1;-1.0;-1.0;5.0;-0.000768065;0.000399026
1;1;1.0;-1.0;5.0;-0.000768065;0.000399026
1;1;0.0;-4.0;-4.0;-0.00213863;0.000240701
1;1;-4.0;0.0;-4.0;-0.00213863;0.000240701
1;1;4.0;0.0;4.0;-0.00213863;0.000240701
1;1;0.0;4.0;4.0;-0.00213863;0.000240701
1;1;-4.0;-4.0;0.0;-0.00213863;0.000240701
1;1;4.0;0.0;-4.0;-0.00213863;0.000240701
1;1;4.0;-4.0;0.0;-0.00213863;0.000240701
1;1;0.0;4.0;-4.0;-0.00213863;0.000240701
1;1;0.0;-4.0;4.0;-0.00213863;0.000240701
1;1;-4.0;4.0;0.0;-0.00213863;0.000240701
1;1;-4.0;0.0;4.0;-0.00213863;0.000240701
1;1;4.0;4.0;0.0;-0.00213863;0.000240701
1;1;-1.0;-3.0;-5.0;-0.000620665;0.000469393
1;1;1.0;-3.0;-5.0;-0.000620665;0.000469393
1;1;-3.0;-5.0;-1.0;-0.000620665;0.000469393
1;1;-3.0;1.0;-5.0;-0.000620665;0.000469393
1;1;3.0;1.0;-5.0;-0.000620665;0.000469393
1;1;5.0;-1.0;-3.0;-0.000620665;0.000469393
1;1;1.0;3.0;-5.0;-0.000620665;0.000469393
1;1;1.0;-5.0;3.0;-0.000620665;0.000469393
1;1;-1.0;5.0;-3.0;-0.000620665;0.000469393
1;1;-1.0;-3.0;5.0;-0.000620665;0.000469393
1;1;-5.0;1.0;3.0;-0.000620665;0.000469393
1;1;-3.0;-1.0;5.0;-0.000620665;0.000469393
1;1;3.0;-1.0;5.0;-0.000620665;0.000469393
1;1;3.0;5.0;1.0;-0.000620665;0.000469393
1;1;-1.0;3.0;5.0;-0.000620665;0.000469393
1;1;1.0;3.0;5.0;-0.000620665;0.000469393
1;1;-1.0;-5.0;-3.0;-0.000620665;0.000469393
1;1;1.0;-5.0;-3.0;-0.000620665;0.000469393
1;1;-3.0;-1.0;-5.0;-0.000620665;0.000469393
1;1;3.0;-1.0;-5.0;-0.000620665;0.000469393
1;1;3.0;-5.0;-1.0;-0.000620665;0.000469393
1;1;-5.0;-1.0;-3.0;-0.000620665;0.000469393
1;1;-5.0;-3.0;-1.0;-0.000620665;0.000469393
1;1;-3.0;-5.0;1.0;-0.000620665;0.000469393
1;1;3.0;-5.0;1.0;-0.000620665;0.000469393
1;1;5.0;-3.0;-1.0;-0.000620665;0.000469393
1;1;-5.0;1.0;-3.0;-0.000620665;0.000469393
1;1;-1.0;3.0;-5.0;-0.000620665;0.000469393
1;1;-5.0;-3.0;1.0;-0.000620665;0.000469393
1;1;-1.0;-5.0;3.0;-0.000620665;0.000469393
1;1;5.0;1.0;-3.0;-0.000620665;0.000469393
1;1;5.0;-3.0;1.0;-0.000620665;0.000469393
1;1;-5.0;3.0;-1.0;-0.000620665;0.000469393
1;1;-5.0;-1.0;3.0;-0.000620665;0.000469393
1;1;1.0;5.0;-3.0;-0.000620665;0.000469393
1;1;5.0;3.0;-1.0;-0.000620665;0.000469393
1;1;1.0;-3.0;5.0;-0.000620665;0.000469393
1;1;5.0;-1.0;3.0;-0.000620665;0.000469393
1;1;-5.0;3.0;1.0;-0.000620665;0.000469393
1;1;-3.0;5.0;-1.0;-0.000620665;0.000469393
1;1;3.0;5.0;-1.0;-0.000620665;0.000469393
1;1;5.0;3.0;1.0;-0.000620665;0.000469393
1;1;5.0;1.0;3.0;-0.000620665;0.000469393
1;1;-3.0;5.0;1.0;-0.000620665;0.000469393
1;1;-3.0;1.0;5.0;-0.000620665;0.000469393
1;1;3.0;1.0;5.0;-0.000620665;0.000469393
1;1;-1.0;5.0;3.0;-0.000620665;0.000469393
1;1;1.0;5.0;3.0;-0.000620665;0.000469393
1;1;2.0;-4.0;-4.0;0.000580958;-0.000209333
1;1;-4.0;-2.0;-4.0;0.000580958;-0.000209333
1;1;-4.0;-4.0;-2.0;0.000580958;-0.000209333
1;1;0.0;0.0;-6.0;-0.0024813;0.000475472
1;1;-0.0;-6.0;0.0;-0.0024813;0.000475472
1;1;4.0;-2.0;-4.0;0.000580958;-0.000209333
1;1;4.0;-4.0;-2.0;0.000580958;-0.000209333
1;1;-4.0;2.0;-4.0;0.000580958;-0.000209333
1;1;-6.0;-0.0;0.0;-0.0024813;0.000475472
1;1;-2.0;4.0;-4.0;0.000580958;-0.000209333
1;1;2.0;-4.0;4.0;0.000580958;-0.000209333
1;1;6.0;0.0;-0.0;-0.0024813;0.000475472
1;1;4.0;-2.0;4.0;0.000580958;-0.000209333
1;1;-4.0;4.0;2.0;0.000580958;-0.000209333
1;1;-4.0;2.0;4.0;0.000580958;-0.000209333
1;1;0.0;6.0;-0.0;-0.0024813;0.000475472
1;1;0.0;0.0;6.0;-0.0024813;0.000475472
1;1;4.0;4.0;2.0;0.000580958;-0.000209333
1;1;4.0;2.0;4.0;0.000580958;-0.000209333
1;1;-2.0;4.0;4.0;0.000580958;-0.000209333
1;1;-2.0;-4.0;-4.0;0.000580958;-0.000209333
1;1;-4.0;-4.0;2.0;0.000580958;-0.000209333
1;1;4.0;2.0;-4.0;0.000580958;-0.000209333
1;1;4.0;-4.0;2.0;0.000580958;-0.000209333
1;1;2.0;4.0;-4.0;0.000580958;-0.000209333
1;1;-2.0;-4.0;4.0;0.000580958;-0.000209333
1;1;-4.0;4.0;-2.0;0.000580958;-0.000209333
1;1;-4.0;-2.0;4.0;0.000580958;-0.000209333
1;1;4.0;4.0;-2.0;0.000580958;-0.000209333
1;1;2.0;4.0;4.0;0.000580958;-0.000209333
1;1;0.0;-2.0;-6.0;0.000240867;-8.75798e-05
1;1;-0.0;-6.0;-2.0;0.000240867;-8.75798e-05
1;1;-2.0;0.0;-6.0;0.000240867;-8.75798e-05
1;1;2.0;0.0;-6.0;0.000240867;-8.75798e-05
1;1;-2.0;-6.0;0.0;0.000240867;-8.75798e-05
1;1;2.0;-6.0;0.0;0.000240867;-8.75798e-05
1;1;-0.0;-6.0;2.0;0.000240867;-8.75798e-05
1;1;-6.0;-0.0;-2.0;0.000240867;-8.75798e-05
1;1;-6.0;-2.0;0.0;0.000240867;-8.75798e-05
1;1;6.0;0.0;-2.0;0.000240867;-8.75798e-05
1;1;6.0;-2.0;-0.0;0.000240867;-8.75798e-05
1;1;-6.0;2.0;0.0;0.000240867;-8.75798e-05
1;1;-6.0;-0.0;2.0;0.000240867;-8.75798e-05
1;1;6.0;2.0;0.0;0.000240867;-8.75798e-05
1;1;6.0;0.0;2.0;0.000240867;-8.75798e-05
1;1;0.0;6.0;-2.0;0.000240867;-8.75798e-05
1;1;-2.0;6.0;-0.0;0.000240867;-8.75798e-05
1;1;2.0;6.0;0.0;0.000240867;-8.75798e-05
1;1;-2.0;-0.0;6.0;0.000240867;-8.75798e-05
1;1;2.0;-0.0;6.0;0.000240867;-8.75798e-05
1;1;0.0;6.0;2.0;0.000240867;-8.75798e-05
1;1;-0.0;2.0;6.0;0.000240867;-8.75798e-05
1;1;0.0;2.0;-6.0;0.000240867;-8.75798e-05
1;1;-0.0;-2.0;6.0;0.000240867;-8.75798e-05
1;1;-3.0;-3.0;-5.0;-0.00177831;0.000282359
1;1;-3.0;-5.0;-3.0;-0.00177831;0.000282359
1;1;3.0;-3.0;-5.0;-0.00177831;0.000282359
1;1;3.0;-5.0;-3.0;-0.00177831;0.000282359
1;1;-5.0;-3.0;-3.0;-0.00177831;0.000282359
1;1;5.0;-3.0;-3.0;-0.00177831;0.000282359
1;1;-3.0;3.0;-5.0;-0.00177831;0.000282359
1;1;3.0;3.0;-5.0;-0.00177831;0.000282359
1;1;-3.0;-5.0;3.0;-0.00177831;0.000282359
1;1;3.0;-5.0;3.0;-0.00177831;0.000282359
1;1;-5.0;3.0;-3.0;-0.00177831;0.000282359
1;1;-5.0;-3.0;3.0;-0.00177831;0.000282359
1;1;5.0;3.0;-3.0;-0.00177831;0.000282359
1;1;5.0;-3.0;3.0;-0.00177831;0.000282359
1;1;-3.0;5.0;-3.0;-0.00177831;0.000282359
1;1;3.0;5.0;-3.0;-0.00177831;0.000282359
1;1;-3.0;-3.0;5.0;-0.00177831;0.000282359
1;1;3.0;-3.0;5.0;-0.00177831;0.000282359
1;1;-5.0;3.0;3.0;-0.00177831;0.000282359
1;1;5.0;3.0;3.0;-0.00177831;0.000282359
1;1;-3.0;5.0;3.0;-0.00177831;0.000282359
1;1;-3.0;3.0;5.0;-0.00177831;0.000282359
1;1;3.0;5.0;3.0;-0.00177831;0.000282359
1;1;3.0;3.0;5.0;-0.00177831;0.000282359
1;1;-2.0;-2.0;-6.0;-0.000107032;1.44291e-05
1;1;-2.0;-6.0;-2.0;-0.000107032;1.44291e-05
1;1;2.0;-2.0;-6.0;-0.000107032;1.44291e-05
1;1;2.0;-6.0;-2.0;-0.000107032;1.44291e-05
1;1;-6.0;-2.0;-2.0;-0.000107032;1.44291e-05
1;1;-2.0;2.0;-6.0;-0.000107032;1.44291e-05
1;1;2.0;2.0;-6.0;-0.000107032;1.44291e-05
1;1;-2.0;-6.0;2.0;-0.000107032;1.44291e-05
1;1;2.0;-6.0;2.0;-0.000107032;1.44291e-05
1;1;6.0;-2.0;-2.0;-0.000107032;1.44291e-05
1;1;-6.0;2.0;-2.0;-0.000107032;1.44291e-05
1;1;-6.0;-2.0;2.0;-0.000107032;1.44291e-05
1;1;6.0;2.0;-2.0;-0.000107032;1.44291e-05
1;1;6.0;-2.0;2.0;-0.000107032;1.44291e-05
1;1;-6.0;2.0;2.0;-0.000107032;1.44291e-05
1;1;-2.0;6.0;-2.0;-0.000107032;1.44291e-05
1;1;2.0;6.0;-2.0;-0.000107032;1.44291e-05
1;1;-2.0;-2.0;6.0;-0.000107032;1.44291e-05
1;1;2.0;-2.0;6.0;-0.000107032;1.44291e-05
1;1;6.0;2.0;2.0;-0.000107032;1.44291e-05
1;1;-2.0;6.0;2.0;-0.000107032;1.44291e-05
1;1;-2.0;2.0;6.0;-0.000107032;1.44291e-05
1;1;2.0;6.0;2.0;-0.000107032;1.44291e-05
1;1;2.0;2.0;6.0;-0.000107032;1.44291e-05
1;1;-4.0;-4.0;-4.0;-0.000529082;0.00111373
1;1;4.0;-4.0;-4.0;-0.000529082;0.00111373
1;1;-4.0;4.0;-4.0;-0.000529082;0.00111373
1;1;-4.0;-4.0;4.0;-0.000529082;0.00111373
1;1;4.0;4.0;-4.0;-0.000529082;0.00111373
1;1;4.0;-4.0;4.0;-0.000529082;0.00111373
1;1;-4.0;4.0;4.0;-0.000529082;0.00111373
1;1;4.0;4.0;4.0;-0.000529082;0.00111373
1;1;-1.0;-1.0;-7.0;-0.000744508;-4.73619e-05
1;1;1.0;-1.0;-7.0;-0.000744508;-4.73619e-05
1;1;-1.0;1.0;-7.0;-0.000744508;-4.73619e-05
1;1;-5.0;-5.0;-1.0;-0.000934857;-1.09588e-05
1;1;1.0;1.0;-7.0;-0.000744508;-4.73619e-05
1;1;5.0;-1.0;-5.0;-0.000934857;-1.09588e-05
1;1;5.0;-5.0;-1.0;-0.000934857;-1.09588e-05
1;1;-5.0;1.0;-5.0;-0.000934857;-1.09588e-05
1;1;-1.0;5.0;-5.0;-0.000934857;-1.09588e-05
1;1;1.0;-5.0;5.0;-0.000934857;-1.09588e-05
1;1;5.0;-1.0;5.0;-0.000934857;-1.09588e-05
1;1;-5.0;5.0;1.0;-0.000934857;-1.09588e-05
1;1;-5.0;1.0;5.0;-0.000934857;-1.09588e-05
1;1;-1.0;-1.0;7.0;-0.000744508;-4.73619e-05
1;1;5.0;5.0;1.0;-0.000934857;-1.09588e-05
1;1;1.0;-1.0;7.0;-0.000744508;-4.73619e-05
1;1;-1.0;1.0;7.0;-0.000744508;-4.73619e-05
1;1;1.0;1.0;7.0;-0.000744508;-4.73619e-05
1;1;-1.0;-5.0;-5.0;-0.000934857;-1.09588e-05
1;1;1.0;-5.0;-5.0;-0.000934857;-1.09588e-05
1;1;-1.0;-7.0;-1.0;-0.000744508;-4.73619e-05
1;1;1.0;-7.0;-1.0;-0.000744508;-4.73619e-05
1;1;-5.0;-1.0;-5.0;-0.000934857;-1.09588e-05
1;1;-1.0;-7.0;1.0;-0.000744508;-4.73619e-05
1;1;1.0;-7.0;1.0;-0.000744508;-4.73619e-05
1;1;-5.0;-5.0;1.0;-0.000934857;-1.09588e-05
1;1;5.0;1.0;-5.0;-0.000934857;-1.09588e-05
1;1;5.0;-5.0;1.0;-0.000934857;-1.09588e-05
1;1;-7.0;-1.0;-1.0;-0.000744508;-4.73619e-05
1;1;7.0;-1.0;-1.0;-0.000744508;-4.73619e-05
1;1;-7.0;1.0;-1.0;-0.000744508;-4.73619e-05
1;1;-7.0;-1.0;1.0;-0.000744508;-4.73619e-05
1;1;1.0;5.0;-5.0;-0.000934857;-1.09588e-05
1;1;-1.0;-5.0;5.0;-0.000934857;-1.09588e-05
1;1;7.0;1.0;-1.0;-0.000744508;-4.73619e-05
1;1;7.0;-1.0;1.0;-0.000744508;-4.73619e-05
1;1;-7.0;1.0;1.0;-0.000744508;-4.73619e-05
1;1;7.0;1.0;1.0;-0.000744508;-4.73619e-05
1;1;-5.0;5.0;-1.0;-0.000934857;-1.09588e-05
1;1;-5.0;-1.0;5.0;-0.000934857;-1.09588e-05
1;1;5.0;5.0;-1.0;-0.000934857;-1.09588e-05
1;1;-1.0;7.0;-1.0;-0.000744508;-4.73619e-05
1;1;1.0;7.0;-1.0;-0.000744508;-4.73619e-05
1;1;5.0;1.0;5.0;-0.000934857;-1.09588e-05
1;1;-1.0;7.0;1.0;-0.000744508;-4.73619e-05
1;1;1.0;7.0;1.0;-0.000744508;-4.73619e-05
1;1;-1.0;5.0;5.0;-0.000934857;-1.09588e-05
1;1;1.0;5.0;5.0;-0.000934857;-1.09588e-05
1;1;0.0;-4.0;-6.0;-0.000241736;-1.33088e-05
1;1;-4.0;0.0;-6.0;-0.000241736;-1.33088e-05
1;1;-4.0;-6.0;0.0;-0.000241736;-1.33088e-05
1;1;4.0;0.0;-6.0;-0.000241736;-1.33088e-05
1;1;4.0;-6.0;0.0;-0.000241736;-1.33088e-05
1;1;-6.0;0.0;-4.0;-0.000241736;-1.33088e-05
1;1;-6.0;-4.0;0.0;-0.000241736;-1.33088e-05
1;1;6.0;0.0;-4.0;-0.000241736;-1.33088e-05
1;1;6.0;-4.0;-0.0;-0.000241736;-1.33088e-05
1;1;0.0;4.0;-6.0;-0.000241736;-1.33088e-05
1;1;-0.0;-6.0;4.0;-0.000241736;-1.33088e-05
1;1;0.0;6.0;-4.0;-0.000241736;-1.33088e-05
1;1;-0.0;-4.0;6.0;-0.000241736;-1.33088e-05
1;1;-6.0;4.0;0.0;-0.000241736;-1.33088e-05
1;1;-6.0;-0.0;4.0;-0.000241736;-1.33088e-05
1;1;6.0;4.0;-0.0;-0.000241736;-1.33088e-05
1;1;6.0;-0.0;4.0;-0.000241736;-1.33088e-05
1;1;-4.0;6.0;-0.0;-0.000241736;-1.33088e-05
1;1;-4.0;-0.0;6.0;-0.000241736;-1.33088e-05
1;1;4.0;6.0;-0.0;-0.000241736;-1.33088e-05
1;1;4.0;-0.0;6.0;-0.000241736;-1.33088e-05
1;1;-0.0;4.0;6.0;-0.000241736;-1.33088e-05
1;1;0.0;-6.0;-4.0;-0.000241736;-1.33088e-05
1;1;-0.0;6.0;4.0;-0.000241736;-1.33088e-05
1;1;2.0;-4.0;-6.0;-0.000146506;-5.35985e-05
1;1;2.0;-6.0;-4.0;-0.000146506;-5.35985e-05
1;1;-4.0;-6.0;-2.0;-0.000146506;-5.35985e-05
1;1;6.0;-2.0;-4.0;-0.000146506;-5.35985e-05
1;1;6.0;-4.0;-2.0;-0.000146506;-5.35985e-05
1;1;-4.0;2.0;-6.0;-0.000146506;-5.35985e-05
1;1;-4.0;-6.0;2.0;-0.000146506;-5.35985e-05
1;1;4.0;2.0;-6.0;-0.000146506;-5.35985e-05
1;1;-6.0;2.0;-4.0;-0.000146506;-5.35985e-05
1;1;-6.0;-4.0;2.0;-0.000146506;-5.35985e-05
1;1;2.0;4.0;-6.0;-0.000146506;-5.35985e-05
1;1;-2.0;-6.0;4.0;-0.000146506;-5.35985e-05
1;1;6.0;2.0;-4.0;-0.000146506;-5.35985e-05
1;1;2.0;-6.0;4.0;-0.000146506;-5.35985e-05
1;1;-2.0;6.0;-4.0;-0.000146506;-5.35985e-05
1;1;-6.0;-2.0;4.0;-0.000146506;-5.35985e-05
1;1;2.0;6.0;-4.0;-0.000146506;-5.35985e-05
1;1;-2.0;-4.0;6.0;-0.000146506;-5.35985e-05
1;1;6.0;4.0;-2.0;-0.000146506;-5.35985e-05
1;1;6.0;-2.0;4.0;-0.000146506;-5.35985e-05
1;1;-4.0;-2.0;6.0;-0.000146506;-5.35985e-05
1;1;4.0;6.0;-2.0;-0.000146506;-5.35985e-05
1;1;4.0;-2.0;6.0;-0.000146506;-5.35985e-05
1;1;-6.0;4.0;2.0;-0.000146506;-5.35985e-05
1;1;-6.0;2.0;4.0;-0.000146506;-5.35985e-05
1;1;4.0;6.0;2.0;-0.000146506;-5.35985e-05
1;1;-2.0;6.0;4.0;-0.000146506;-5.35985e-05
1;1;-2.0;4.0;6.0;-0.000146506;-5.35985e-05
1;1;-2.0;-4.0;-6.0;-0.000146506;-5.35985e-05
1;1;-2.0;-6.0;-4.0;-0.000146506;-5.35985e-05
1;1;-4.0;-2.0;-6.0;-0.000146506;-5.35985e-05
1;1;4.0;-2.0;-6.0;-0.000146506;-5.35985e-05
1;1;4.0;-6.0;-2.0;-0.000146506;-5.35985e-05
1;1;-6.0;-2.0;-4.0;-0.000146506;-5.35985e-05
